Questions,Retrieved Tag,Retrieved Name,Retrieved Index
Can you provide the location of cabinet_1?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
Can cabinet_1 be interacted with?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
What kind of material is cabinet_1 made of?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
Could you describe the color of cabinet_1?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
How far is cabinet_1 from the player?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
Which direction is cabinet_1 located relative to the player?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
Can you provide the location of cabinet_2?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
Can cabinet_2 be interacted with?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
What kind of material is cabinet_2 made of?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
Could you describe the color of cabinet_2?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
How far is cabinet_2 from the player?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
Which direction is cabinet_2 located relative to the player?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
Can you provide the location of cabinet_3?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
Can cabinet_3 be interacted with?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
What kind of material is cabinet_3 made of?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
Could you describe the color of cabinet_3?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
How far is cabinet_3 from the player?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
Which direction is cabinet_3 located relative to the player?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
Can you provide the location of cabinet_4?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
Can cabinet_4 be interacted with?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
What kind of material is cabinet_4 made of?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
Could you describe the color of cabinet_4?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
How far is cabinet_4 from the player?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
Which direction is cabinet_4 located relative to the player?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
Can you provide the location of clock_1?,clock,clock_1,"['clock', 'clock_1']"
Can clock_1 be interacted with?,clock,clock_1,"['clock', 'clock_1']"
What kind of material is clock_1 made of?,clock,clock_1,"['clock', 'clock_1']"
Could you describe the color of clock_1?,clock,clock_1,"['clock', 'clock_1']"
How far is clock_1 from the player?,clock,clock_1,"['clock', 'clock_1']"
Which direction is clock_1 located relative to the player?,clock,clock_1,"['clock', 'clock_1']"
Can you provide the location of coffee machine_1?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
Can coffee machine_1 be interacted with?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
What kind of material is coffee machine_1 made of?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
Could you describe the color of coffee machine_1?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
How far is coffee machine_1 from the player?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
Which direction is coffee machine_1 located relative to the player?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
Can you provide the location of cork board_1?,cork board,cork board_1,"['cork board', 'cork board_1']"
Can cork board_1 be interacted with?,cork board,cork board_1,"['cork board', 'cork board_1']"
What kind of material is cork board_1 made of?,cork board,cork board_1,"['cork board', 'cork board_1']"
Could you describe the color of cork board_1?,cork board,cork board_1,"['cork board', 'cork board_1']"
How far is cork board_1 from the player?,cork board,cork board_1,"['cork board', 'cork board_1']"
Which direction is cork board_1 located relative to the player?,cork board,cork board_1,"['cork board', 'cork board_1']"
Can you provide the location of couple kiss decoration_1?,couple kiss decoration,couple kiss decoration_1,"['couple kiss decoration', 'couple kiss decoration_1']"
Can couple kiss decoration_1 be interacted with?,couple kiss decoration,couple kiss decoration_1,"['couple kiss decoration', 'couple kiss decoration_1']"
What kind of material is couple kiss decoration_1 made of?,couple kiss decoration,couple kiss decoration_1,"['couple kiss decoration', 'couple kiss decoration_1']"
Could you describe the color of couple kiss decoration_1?,couple kiss decoration,couple kiss decoration_1,"['couple kiss decoration', 'couple kiss decoration_1']"
How far is couple kiss decoration_1 from the player?,couple kiss decoration,couple kiss decoration_1,"['couple kiss decoration', 'couple kiss decoration_1']"
Which direction is couple kiss decoration_1 located relative to the player?,couple kiss decoration,couple kiss decoration_1,"['couple kiss decoration', 'couple kiss decoration_1']"
Can you provide the location of crane bird_1?,crane bird,crane bird_1,"['crane bird', 'crane bird_1']"
Can crane bird_1 be interacted with?,crane bird,crane bird_1,"['crane bird', 'crane bird_1']"
What kind of material is crane bird_1 made of?,crane bird,crane bird_1,"['crane bird', 'crane bird_1']"
Could you describe the color of crane bird_1?,crane bird,crane bird_1,"['crane bird', 'crane bird_1']"
How far is crane bird_1 from the player?,crane bird,crane bird_1,"['crane bird', 'crane bird_1']"
Which direction is crane bird_1 located relative to the player?,crane bird,crane bird_1,"['crane bird', 'crane bird_1']"
Can you provide the location of delphin_1?,delphin,delphin_1,"['delphin', 'delphin_1']"
Can delphin_1 be interacted with?,delphin,delphin_1,"['delphin', 'delphin_1']"
What kind of material is delphin_1 made of?,delphin,delphin_1,"['delphin', 'delphin_1']"
Could you describe the color of delphin_1?,delphin,delphin_1,"['delphin', 'delphin_1']"
How far is delphin_1 from the player?,delphin,delphin_1,"['delphin', 'delphin_1']"
Which direction is delphin_1 located relative to the player?,delphin,delphin_1,"['delphin', 'delphin_1']"
Can you provide the location of door_1?,door,door_1,"['door', 'door_1']"
Can door_1 be interacted with?,door,door_1,"['door', 'door_1']"
What kind of material is door_1 made of?,door,door_1,"['door', 'door_1']"
Could you describe the color of door_1?,door,door_1,"['door', 'door_1']"
How far is door_1 from the player?,door,door_1,"['door', 'door_1']"
Which direction is door_1 located relative to the player?,door,door_1,"['door', 'door_1']"
Can you provide the location of door_2?,door,door_2,"['door', 'door_2']"
Can door_2 be interacted with?,door,door_2,"['door', 'door_2']"
What kind of material is door_2 made of?,door,door_2,"['door', 'door_2']"
