Questions,Hard Negative Retrieved Index
Can you provide the location of alseda_1?,"['alseda', 'alseda_2']"
Can alseda_1 be interacted with?,"['alseda', 'alseda_2']"
What kind of material is alseda_1 made of?,"['alseda', 'alseda_2']"
Could you describe the color of alseda_1?,"['alseda', 'alseda_2']"
How far is alseda_1 from the player?,"['alseda', 'alseda_2']"
Which direction is alseda_1 located relative to the player?,"['alseda', 'alseda_2']"
Can you provide the location of alseda_2?,"['alseda', 'alseda_1']"
Can alseda_2 be interacted with?,"['alseda', 'alseda_1']"
What kind of material is alseda_2 made of?,"['alseda', 'alseda_1']"
Could you describe the color of alseda_2?,"['alseda', 'alseda_1']"
How far is alseda_2 from the player?,"['alseda', 'alseda_1']"
Which direction is alseda_2 located relative to the player?,"['alseda', 'alseda_1']"
Can you provide the location of courtyard door_1?,"['courtyard door', 'courtyard door_2']"
Can you provide the location of courtyard door_1?,"['courtyard door', 'courtyard door_3']"
Can courtyard door_1 be interacted with?,"['courtyard door', 'courtyard door_2']"
Can courtyard door_1 be interacted with?,"['courtyard door', 'courtyard door_3']"
What kind of material is courtyard door_1 made of?,"['courtyard door', 'courtyard door_2']"
What kind of material is courtyard door_1 made of?,"['courtyard door', 'courtyard door_3']"
Could you describe the color of courtyard door_1?,"['courtyard door', 'courtyard door_2']"
Could you describe the color of courtyard door_1?,"['courtyard door', 'courtyard door_3']"
How far is courtyard door_1 from the player?,"['courtyard door', 'courtyard door_2']"
How far is courtyard door_1 from the player?,"['courtyard door', 'courtyard door_3']"
Which direction is courtyard door_1 located relative to the player?,"['courtyard door', 'courtyard door_2']"
Which direction is courtyard door_1 located relative to the player?,"['courtyard door', 'courtyard door_3']"
Can you provide the location of courtyard door_2?,"['courtyard door', 'courtyard door_1']"
Can you provide the location of courtyard door_2?,"['courtyard door', 'courtyard door_3']"
Can courtyard door_2 be interacted with?,"['courtyard door', 'courtyard door_1']"
Can courtyard door_2 be interacted with?,"['courtyard door', 'courtyard door_3']"
What kind of material is courtyard door_2 made of?,"['courtyard door', 'courtyard door_1']"
What kind of material is courtyard door_2 made of?,"['courtyard door', 'courtyard door_3']"
Could you describe the color of courtyard door_2?,"['courtyard door', 'courtyard door_1']"
Could you describe the color of courtyard door_2?,"['courtyard door', 'courtyard door_3']"
How far is courtyard door_2 from the player?,"['courtyard door', 'courtyard door_1']"
How far is courtyard door_2 from the player?,"['courtyard door', 'courtyard door_3']"
Which direction is courtyard door_2 located relative to the player?,"['courtyard door', 'courtyard door_1']"
Which direction is courtyard door_2 located relative to the player?,"['courtyard door', 'courtyard door_3']"
Can you provide the location of courtyard door_3?,"['courtyard door', 'courtyard door_1']"
Can you provide the location of courtyard door_3?,"['courtyard door', 'courtyard door_2']"
Can courtyard door_3 be interacted with?,"['courtyard door', 'courtyard door_1']"
Can courtyard door_3 be interacted with?,"['courtyard door', 'courtyard door_2']"
What kind of material is courtyard door_3 made of?,"['courtyard door', 'courtyard door_1']"
What kind of material is courtyard door_3 made of?,"['courtyard door', 'courtyard door_2']"
Could you describe the color of courtyard door_3?,"['courtyard door', 'courtyard door_1']"
Could you describe the color of courtyard door_3?,"['courtyard door', 'courtyard door_2']"
How far is courtyard door_3 from the player?,"['courtyard door', 'courtyard door_1']"
How far is courtyard door_3 from the player?,"['courtyard door', 'courtyard door_2']"
Which direction is courtyard door_3 located relative to the player?,"['courtyard door', 'courtyard door_1']"
Which direction is courtyard door_3 located relative to the player?,"['courtyard door', 'courtyard door_2']"
