Questions,Retrieved Tag,Retrieved Name,Retrieved Index
How many brown chocolates are there?,brown chocolate,brown chocolate_1,"['brown chocolate', 'brown chocolate_1']"
Could you count the number of brown chocolates?,brown chocolate,brown chocolate_1,"['brown chocolate', 'brown chocolate_1']"
What's the total quantity of brown chocolates?,brown chocolate,brown chocolate_1,"['brown chocolate', 'brown chocolate_1']"
Can you provide the count of brown chocolates?,brown chocolate,brown chocolate_1,"['brown chocolate', 'brown chocolate_1']"
Do you know how many brown chocolates exist?,brown chocolate,brown chocolate_1,"['brown chocolate', 'brown chocolate_1']"
What's the number of brown chocolates present?,brown chocolate,brown chocolate_1,"['brown chocolate', 'brown chocolate_1']"
How many brown chocolates are there?,brown chocolate,brown chocolate_2,"['brown chocolate', 'brown chocolate_2']"
Could you count the number of brown chocolates?,brown chocolate,brown chocolate_2,"['brown chocolate', 'brown chocolate_2']"
What's the total quantity of brown chocolates?,brown chocolate,brown chocolate_2,"['brown chocolate', 'brown chocolate_2']"
Can you provide the count of brown chocolates?,brown chocolate,brown chocolate_2,"['brown chocolate', 'brown chocolate_2']"
Do you know how many brown chocolates exist?,brown chocolate,brown chocolate_2,"['brown chocolate', 'brown chocolate_2']"
What's the number of brown chocolates present?,brown chocolate,brown chocolate_2,"['brown chocolate', 'brown chocolate_2']"
How many cash registers are there?,cash register,cash register_1,"['cash register', 'cash register_1']"
Could you count the number of cash registers?,cash register,cash register_1,"['cash register', 'cash register_1']"
What's the total quantity of cash registers?,cash register,cash register_1,"['cash register', 'cash register_1']"
Can you provide the count of cash registers?,cash register,cash register_1,"['cash register', 'cash register_1']"
Do you know how many cash registers exist?,cash register,cash register_1,"['cash register', 'cash register_1']"
What's the number of cash registers present?,cash register,cash register_1,"['cash register', 'cash register_1']"
How many chipboxs are there?,chipbox,chipbox_1,"['chipbox', 'chipbox_1']"
Could you count the number of chipboxs?,chipbox,chipbox_1,"['chipbox', 'chipbox_1']"
What's the total quantity of chipboxs?,chipbox,chipbox_1,"['chipbox', 'chipbox_1']"
Can you provide the count of chipboxs?,chipbox,chipbox_1,"['chipbox', 'chipbox_1']"
Do you know how many chipboxs exist?,chipbox,chipbox_1,"['chipbox', 'chipbox_1']"
What's the number of chipboxs present?,chipbox,chipbox_1,"['chipbox', 'chipbox_1']"
How many chipboxs are there?,chipbox,chipbox_2,"['chipbox', 'chipbox_2']"
Could you count the number of chipboxs?,chipbox,chipbox_2,"['chipbox', 'chipbox_2']"
What's the total quantity of chipboxs?,chipbox,chipbox_2,"['chipbox', 'chipbox_2']"
Can you provide the count of chipboxs?,chipbox,chipbox_2,"['chipbox', 'chipbox_2']"
Do you know how many chipboxs exist?,chipbox,chipbox_2,"['chipbox', 'chipbox_2']"
What's the number of chipboxs present?,chipbox,chipbox_2,"['chipbox', 'chipbox_2']"
How many chocolate ice cream posters are there?,chocolate ice cream poster,chocolate ice cream poster_1,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
Could you count the number of chocolate ice cream posters?,chocolate ice cream poster,chocolate ice cream poster_1,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
What's the total quantity of chocolate ice cream posters?,chocolate ice cream poster,chocolate ice cream poster_1,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
Can you provide the count of chocolate ice cream posters?,chocolate ice cream poster,chocolate ice cream poster_1,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
Do you know how many chocolate ice cream posters exist?,chocolate ice cream poster,chocolate ice cream poster_1,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
What's the number of chocolate ice cream posters present?,chocolate ice cream poster,chocolate ice cream poster_1,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
How many coffee posters are there?,coffee poster,coffee poster_1,"['coffee poster', 'coffee poster_1']"
Could you count the number of coffee posters?,coffee poster,coffee poster_1,"['coffee poster', 'coffee poster_1']"
What's the total quantity of coffee posters?,coffee poster,coffee poster_1,"['coffee poster', 'coffee poster_1']"
Can you provide the count of coffee posters?,coffee poster,coffee poster_1,"['coffee poster', 'coffee poster_1']"
Do you know how many coffee posters exist?,coffee poster,coffee poster_1,"['coffee poster', 'coffee poster_1']"
What's the number of coffee posters present?,coffee poster,coffee poster_1,"['coffee poster', 'coffee poster_1']"
How many counters are there?,counter,counter_1,"['counter', 'counter_1']"
Could you count the number of counters?,counter,counter_1,"['counter', 'counter_1']"
What's the total quantity of counters?,counter,counter_1,"['counter', 'counter_1']"
Can you provide the count of counters?,counter,counter_1,"['counter', 'counter_1']"
Do you know how many counters exist?,counter,counter_1,"['counter', 'counter_1']"
What's the number of counters present?,counter,counter_1,"['counter', 'counter_1']"
How many doors are there?,door,door_1,"['door', 'door_1']"
Could you count the number of doors?,door,door_1,"['door', 'door_1']"
What's the total quantity of doors?,door,door_1,"['door', 'door_1']"
Can you provide the count of doors?,door,door_1,"['door', 'door_1']"
Do you know how many doors exist?,door,door_1,"['door', 'door_1']"
What's the number of doors present?,door,door_1,"['door', 'door_1']"
How many doors are there?,door,door_2,"['door', 'door_2']"
Could you count the number of doors?,door,door_2,"['door', 'door_2']"
What's the total quantity of doors?,door,door_2,"['door', 'door_2']"
Can you provide the count of doors?,door,door_2,"['door', 'door_2']"
Do you know how many doors exist?,door,door_2,"['door', 'door_2']"
What's the number of doors present?,door,door_2,"['door', 'door_2']"
How many double doors are there?,double door,double door_1,"['double door', 'double door_1']"
Could you count the number of double doors?,double door,double door_1,"['double door', 'double door_1']"
What's the total quantity of double doors?,double door,double door_1,"['double door', 'double door_1']"
Can you provide the count of double doors?,double door,double door_1,"['double door', 'double door_1']"
Do you know how many double doors exist?,double door,double door_1,"['double door', 'double door_1']"
What's the number of double doors present?,double door,double door_1,"['double door', 'double door_1']"
How many double doors are there?,double door,double door_2,"['double door', 'double door_2']"
Could you count the number of double doors?,double door,double door_2,"['double door', 'double door_2']"
What's the total quantity of double doors?,double door,double door_2,"['double door', 'double door_2']"
Can you provide the count of double doors?,double door,double door_2,"['double door', 'double door_2']"
Do you know how many double doors exist?,double door,double door_2,"['double door', 'double door_2']"
What's the number of double doors present?,double door,double door_2,"['double door', 'double door_2']"
How many ice cream posters are there?,ice cream poster,ice cream poster_1,"['ice cream poster', 'ice cream poster_1']"
Could you count the number of ice cream posters?,ice cream poster,ice cream poster_1,"['ice cream poster', 'ice cream poster_1']"
What's the total quantity of ice cream posters?,ice cream poster,ice cream poster_1,"['ice cream poster', 'ice cream poster_1']"
Can you provide the count of ice cream posters?,ice cream poster,ice cream poster_1,"['ice cream poster', 'ice cream poster_1']"
Do you know how many ice cream posters exist?,ice cream poster,ice cream poster_1,"['ice cream poster', 'ice cream poster_1']"
What's the number of ice cream posters present?,ice cream poster,ice cream poster_1,"['ice cream poster', 'ice cream poster_1']"
How many lemon posters are there?,lemon poster,lemon poster_1,"['lemon poster', 'lemon poster_1']"
Could you count the number of lemon posters?,lemon poster,lemon poster_1,"['lemon poster', 'lemon poster_1']"
What's the total quantity of lemon posters?,lemon poster,lemon poster_1,"['lemon poster', 'lemon poster_1']"
Can you provide the count of lemon posters?,lemon poster,lemon poster_1,"['lemon poster', 'lemon poster_1']"
Do you know how many lemon posters exist?,lemon poster,lemon poster_1,"['lemon poster', 'lemon poster_1']"
What's the number of lemon posters present?,lemon poster,lemon poster_1,"['lemon poster', 'lemon poster_1']"
