Questions,Retrieved Tag,Retrieved Name,Retrieved Index
Can you provide the location of alseda_1?,alseda,alseda_1,"['alseda', 'alseda_1']"
Can alseda_1 be interacted with?,alseda,alseda_1,"['alseda', 'alseda_1']"
What kind of material is alseda_1 made of?,alseda,alseda_1,"['alseda', 'alseda_1']"
Could you describe the color of alseda_1?,alseda,alseda_1,"['alseda', 'alseda_1']"
How far is alseda_1 from the player?,alseda,alseda_1,"['alseda', 'alseda_1']"
Which direction is alseda_1 located relative to the player?,alseda,alseda_1,"['alseda', 'alseda_1']"
Can you provide the location of alseda_2?,alseda,alseda_2,"['alseda', 'alseda_2']"
Can alseda_2 be interacted with?,alseda,alseda_2,"['alseda', 'alseda_2']"
What kind of material is alseda_2 made of?,alseda,alseda_2,"['alseda', 'alseda_2']"
Could you describe the color of alseda_2?,alseda,alseda_2,"['alseda', 'alseda_2']"
How far is alseda_2 from the player?,alseda,alseda_2,"['alseda', 'alseda_2']"
Which direction is alseda_2 located relative to the player?,alseda,alseda_2,"['alseda', 'alseda_2']"
Can you provide the location of alu chair_1?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
Can alu chair_1 be interacted with?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
What kind of material is alu chair_1 made of?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
Could you describe the color of alu chair_1?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
How far is alu chair_1 from the player?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
Which direction is alu chair_1 located relative to the player?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
Can you provide the location of aspen tree_1?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
Can aspen tree_1 be interacted with?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
What kind of material is aspen tree_1 made of?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
Could you describe the color of aspen tree_1?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
How far is aspen tree_1 from the player?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
Which direction is aspen tree_1 located relative to the player?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
Can you provide the location of bamboo basket pendant lamp_1?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Can bamboo basket pendant lamp_1 be interacted with?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
What kind of material is bamboo basket pendant lamp_1 made of?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Could you describe the color of bamboo basket pendant lamp_1?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
How far is bamboo basket pendant lamp_1 from the player?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Which direction is bamboo basket pendant lamp_1 located relative to the player?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Can you provide the location of bathroom door_1?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
Can bathroom door_1 be interacted with?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
What kind of material is bathroom door_1 made of?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
Could you describe the color of bathroom door_1?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
How far is bathroom door_1 from the player?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
Which direction is bathroom door_1 located relative to the player?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
Can you provide the location of bedroom door_1?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
Can bedroom door_1 be interacted with?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
What kind of material is bedroom door_1 made of?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
Could you describe the color of bedroom door_1?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
How far is bedroom door_1 from the player?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
