Questions,Negative Retrieved Index
Can you provide the location of alseda_1?,"['alu chair', 'alu chair_1']"
Can you provide the location of alseda_1?,"['aspen tree', 'aspen tree_1']"
Can you provide the location of alseda_1?,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Can you provide the location of alseda_1?,"['bathroom door', 'bathroom door_1']"
Can you provide the location of alseda_1?,"['bedroom door', 'bedroom door_1']"
Can you provide the location of alseda_1?,"['bedside table', 'bedside table_1']"
Can you provide the location of alseda_1?,"['courtyard door', 'courtyard door_1']"
Can you provide the location of alseda_1?,"['courtyard door', 'courtyard door_2']"
Can you provide the location of alseda_1?,"['courtyard door', 'courtyard door_3']"
Can you provide the location of alseda_1?,"['courtyard stair', 'courtyard stair_1']"
Can you provide the location of alseda_1?,"['hemnes drawer', 'hemnes drawer_1']"
Can you provide the location of alseda_1?,"['hemnes drawer', 'hemnes drawer_2']"
Can you provide the location of alseda_1?,"['hemnes shelf', 'hemnes shelf_1']"
Can you provide the location of alseda_1?,"['ikea superfront', 'ikea superfront_1']"
Can you provide the location of alseda_1?,"['ikea superfront mirror', 'ikea superfront mirror_1']"
Can you provide the location of alseda_1?,"['kitchen', 'kitchen_1']"
Can you provide the location of alseda_1?,"['kitchen accessory', 'kitchen accessory_1']"
Can you provide the location of alseda_1?,"['kitchen hood', 'kitchen hood_1']"
Can you provide the location of alseda_1?,"['knod', 'knod_1']"
Can you provide the location of alseda_1?,"['knod', 'knod_2']"
Can you provide the location of alseda_1?,"['low round table', 'low round table_1']"
Can you provide the location of alseda_1?,"['mac', 'mac_1']"
Can you provide the location of alseda_1?,"['mac keyboard', 'mac keyboard_1']"
Can you provide the location of alseda_1?,"['mac mouse', 'mac mouse_1']"
Can you provide the location of alseda_1?,"['mirror', 'mirror_1']"
Can you provide the location of alseda_1?,"['relax room door', 'relax room door_1']"
Can you provide the location of alseda_1?,"['selia', 'selia_1']"
Can you provide the location of alseda_1?,"['selia', 'selia_2']"
Can you provide the location of alseda_1?,"['shower', 'shower_1']"
Can you provide the location of alseda_1?,"['stair', 'stair_1']"
Can you provide the location of alseda_1?,"['toilet', 'toilet_1']"
Can you provide the location of alseda_1?,"['towel', 'towel_1']"
Can you provide the location of alseda_1?,"['towel', 'towel_2']"
Can you provide the location of alseda_1?,"['towel', 'towel_3']"
Can you provide the location of alseda_1?,"['towel', 'towel_4']"
Can alseda_1 be interacted with?,"['alu chair', 'alu chair_1']"
Can alseda_1 be interacted with?,"['aspen tree', 'aspen tree_1']"
Can alseda_1 be interacted with?,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
