Questions,Retrieved Tag,Retrieved Name,Retrieved Index
How many big signs are there?,big sign,big sign_1,"['big sign', 'big sign_1']"
Could you count the number of big signs?,big sign,big sign_1,"['big sign', 'big sign_1']"
What's the total quantity of big signs?,big sign,big sign_1,"['big sign', 'big sign_1']"
Can you provide the count of big signs?,big sign,big sign_1,"['big sign', 'big sign_1']"
Do you know how many big signs exist?,big sign,big sign_1,"['big sign', 'big sign_1']"
What's the number of big signs present?,big sign,big sign_1,"['big sign', 'big sign_1']"
How many display shelfs are there?,display shelf,display shelf_1,"['display shelf', 'display shelf_1']"
Could you count the number of display shelfs?,display shelf,display shelf_1,"['display shelf', 'display shelf_1']"
What's the total quantity of display shelfs?,display shelf,display shelf_1,"['display shelf', 'display shelf_1']"
Can you provide the count of display shelfs?,display shelf,display shelf_1,"['display shelf', 'display shelf_1']"
Do you know how many display shelfs exist?,display shelf,display shelf_1,"['display shelf', 'display shelf_1']"
What's the number of display shelfs present?,display shelf,display shelf_1,"['display shelf', 'display shelf_1']"
How many handdryers are there?,handdryer,handdryer_1,"['handdryer', 'handdryer_1']"
Could you count the number of handdryers?,handdryer,handdryer_1,"['handdryer', 'handdryer_1']"
What's the total quantity of handdryers?,handdryer,handdryer_1,"['handdryer', 'handdryer_1']"
Can you provide the count of handdryers?,handdryer,handdryer_1,"['handdryer', 'handdryer_1']"
Do you know how many handdryers exist?,handdryer,handdryer_1,"['handdryer', 'handdryer_1']"
What's the number of handdryers present?,handdryer,handdryer_1,"['handdryer', 'handdryer_1']"
How many handdryers are there?,handdryer,handdryer_2,"['handdryer', 'handdryer_2']"
Could you count the number of handdryers?,handdryer,handdryer_2,"['handdryer', 'handdryer_2']"
What's the total quantity of handdryers?,handdryer,handdryer_2,"['handdryer', 'handdryer_2']"
Can you provide the count of handdryers?,handdryer,handdryer_2,"['handdryer', 'handdryer_2']"
Do you know how many handdryers exist?,handdryer,handdryer_2,"['handdryer', 'handdryer_2']"
What's the number of handdryers present?,handdryer,handdryer_2,"['handdryer', 'handdryer_2']"
How many men's rooms are there?,men's room,men's room_1,"[""men's room"", ""men's room_1""]"
Could you count the number of men's rooms?,men's room,men's room_1,"[""men's room"", ""men's room_1""]"
What's the total quantity of men's rooms?,men's room,men's room_1,"[""men's room"", ""men's room_1""]"
