Questions,Negative Retrieved Index
Can you provide the location of barracks_1?,"['big house', 'big house_1']"
Can you provide the location of barracks_1?,"['big house', 'big house_2']"
Can you provide the location of barracks_1?,"['big house', 'big house_3']"
Can you provide the location of barracks_1?,"['big house', 'big house_4']"
Can you provide the location of barracks_1?,"[""blacksmith's house"", ""blacksmith's house_1""]"
Can you provide the location of barracks_1?,"['boat', 'boat_1']"
Can you provide the location of barracks_1?,"['boat', 'boat_2']"
Can you provide the location of barracks_1?,"['boat', 'boat_3']"
Can you provide the location of barracks_1?,"['boat', 'boat_4']"
Can you provide the location of barracks_1?,"['boat', 'boat_5']"
Can you provide the location of barracks_1?,"['boat', 'boat_6']"
Can you provide the location of barracks_1?,"['crane', 'crane_1']"
Can you provide the location of barracks_1?,"['crane', 'crane_2']"
Can you provide the location of barracks_1?,"['crane', 'crane_3']"
Can you provide the location of barracks_1?,"['gate', 'gate_1']"
Can you provide the location of barracks_1?,"['gate', 'gate_2']"
Can you provide the location of barracks_1?,"['high roof house', 'high roof house_1']"
Can you provide the location of barracks_1?,"['small house', 'small house_1']"
Can you provide the location of barracks_1?,"['small house', 'small house_2']"
Can you provide the location of barracks_1?,"['small house', 'small house_3']"
Can you provide the location of barracks_1?,"['small house', 'small house_4']"
Can you provide the location of barracks_1?,"['small house', 'small house_5']"
Can you provide the location of barracks_1?,"['storehouse', 'storehouse_1']"
Can you provide the location of barracks_1?,"['storehouse', 'storehouse_2']"
Can you provide the location of barracks_1?,"['storehouse', 'storehouse_3']"
Can you provide the location of barracks_1?,"['straw roof house', 'straw roof house_1']"
Can you provide the location of barracks_1?,"['straw roof house', 'straw roof house_2']"
Can you provide the location of barracks_1?,"['straw roof house', 'straw roof house_3']"
Can barracks_1 be interacted with?,"['big house', 'big house_1']"
Can barracks_1 be interacted with?,"['big house', 'big house_2']"
Can barracks_1 be interacted with?,"['big house', 'big house_3']"
Can barracks_1 be interacted with?,"['big house', 'big house_4']"
Can barracks_1 be interacted with?,"[""blacksmith's house"", ""blacksmith's house_1""]"
Can barracks_1 be interacted with?,"['boat', 'boat_1']"
Can barracks_1 be interacted with?,"['boat', 'boat_2']"
Can barracks_1 be interacted with?,"['boat', 'boat_3']"
Can barracks_1 be interacted with?,"['boat', 'boat_4']"
Can barracks_1 be interacted with?,"['boat', 'boat_5']"
Can barracks_1 be interacted with?,"['boat', 'boat_6']"
Can barracks_1 be interacted with?,"['crane', 'crane_1']"
Can barracks_1 be interacted with?,"['crane', 'crane_2']"
Can barracks_1 be interacted with?,"['crane', 'crane_3']"
Can barracks_1 be interacted with?,"['gate', 'gate_1']"
Can barracks_1 be interacted with?,"['gate', 'gate_2']"
Can barracks_1 be interacted with?,"['high roof house', 'high roof house_1']"
Can barracks_1 be interacted with?,"['small house', 'small house_1']"
Can barracks_1 be interacted with?,"['small house', 'small house_2']"
Can barracks_1 be interacted with?,"['small house', 'small house_3']"
Can barracks_1 be interacted with?,"['small house', 'small house_4']"
Can barracks_1 be interacted with?,"['small house', 'small house_5']"
Can barracks_1 be interacted with?,"['storehouse', 'storehouse_1']"
Can barracks_1 be interacted with?,"['storehouse', 'storehouse_2']"
Can barracks_1 be interacted with?,"['storehouse', 'storehouse_3']"
Can barracks_1 be interacted with?,"['straw roof house', 'straw roof house_1']"
Can barracks_1 be interacted with?,"['straw roof house', 'straw roof house_2']"
Can barracks_1 be interacted with?,"['straw roof house', 'straw roof house_3']"
What kind of material is barracks_1 made of?,"['big house', 'big house_1']"
What kind of material is barracks_1 made of?,"['big house', 'big house_2']"
What kind of material is barracks_1 made of?,"['big house', 'big house_3']"
What kind of material is barracks_1 made of?,"['big house', 'big house_4']"
What kind of material is barracks_1 made of?,"[""blacksmith's house"", ""blacksmith's house_1""]"
What kind of material is barracks_1 made of?,"['boat', 'boat_1']"
What kind of material is barracks_1 made of?,"['boat', 'boat_2']"
What kind of material is barracks_1 made of?,"['boat', 'boat_3']"
What kind of material is barracks_1 made of?,"['boat', 'boat_4']"
What kind of material is barracks_1 made of?,"['boat', 'boat_5']"
What kind of material is barracks_1 made of?,"['boat', 'boat_6']"
What kind of material is barracks_1 made of?,"['crane', 'crane_1']"
What kind of material is barracks_1 made of?,"['crane', 'crane_2']"
What kind of material is barracks_1 made of?,"['crane', 'crane_3']"
What kind of material is barracks_1 made of?,"['gate', 'gate_1']"
What kind of material is barracks_1 made of?,"['gate', 'gate_2']"
What kind of material is barracks_1 made of?,"['high roof house', 'high roof house_1']"
What kind of material is barracks_1 made of?,"['small house', 'small house_1']"
What kind of material is barracks_1 made of?,"['small house', 'small house_2']"
What kind of material is barracks_1 made of?,"['small house', 'small house_3']"
