Questions,Retrieved Tag,Retrieved Name,Retrieved Index
How many alsedas are there?,alseda,alseda_1,"['alseda', 'alseda_1']"
Could you count the number of alsedas?,alseda,alseda_1,"['alseda', 'alseda_1']"
What's the total quantity of alsedas?,alseda,alseda_1,"['alseda', 'alseda_1']"
Can you provide the count of alsedas?,alseda,alseda_1,"['alseda', 'alseda_1']"
Do you know how many alsedas exist?,alseda,alseda_1,"['alseda', 'alseda_1']"
What's the number of alsedas present?,alseda,alseda_1,"['alseda', 'alseda_1']"
How many alsedas are there?,alseda,alseda_2,"['alseda', 'alseda_2']"
Could you count the number of alsedas?,alseda,alseda_2,"['alseda', 'alseda_2']"
What's the total quantity of alsedas?,alseda,alseda_2,"['alseda', 'alseda_2']"
Can you provide the count of alsedas?,alseda,alseda_2,"['alseda', 'alseda_2']"
Do you know how many alsedas exist?,alseda,alseda_2,"['alseda', 'alseda_2']"
What's the number of alsedas present?,alseda,alseda_2,"['alseda', 'alseda_2']"
How many alu chairs are there?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
Could you count the number of alu chairs?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
What's the total quantity of alu chairs?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
Can you provide the count of alu chairs?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
Do you know how many alu chairs exist?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
What's the number of alu chairs present?,alu chair,alu chair_1,"['alu chair', 'alu chair_1']"
How many aspen trees are there?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
Could you count the number of aspen trees?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
What's the total quantity of aspen trees?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
Can you provide the count of aspen trees?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
Do you know how many aspen trees exist?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
What's the number of aspen trees present?,aspen tree,aspen tree_1,"['aspen tree', 'aspen tree_1']"
How many bamboo basket pendant lamps are there?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Could you count the number of bamboo basket pendant lamps?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
What's the total quantity of bamboo basket pendant lamps?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Can you provide the count of bamboo basket pendant lamps?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
Do you know how many bamboo basket pendant lamps exist?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
What's the number of bamboo basket pendant lamps present?,bamboo basket pendant lamp,bamboo basket pendant lamp_1,"['bamboo basket pendant lamp', 'bamboo basket pendant lamp_1']"
How many bathroom doors are there?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
Could you count the number of bathroom doors?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
What's the total quantity of bathroom doors?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
Can you provide the count of bathroom doors?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
Do you know how many bathroom doors exist?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
What's the number of bathroom doors present?,bathroom door,bathroom door_1,"['bathroom door', 'bathroom door_1']"
How many bedroom doors are there?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
Could you count the number of bedroom doors?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
What's the total quantity of bedroom doors?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
Can you provide the count of bedroom doors?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
Do you know how many bedroom doors exist?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
What's the number of bedroom doors present?,bedroom door,bedroom door_1,"['bedroom door', 'bedroom door_1']"
How many bedside tables are there?,bedside table,bedside table_1,"['bedside table', 'bedside table_1']"
Could you count the number of bedside tables?,bedside table,bedside table_1,"['bedside table', 'bedside table_1']"
What's the total quantity of bedside tables?,bedside table,bedside table_1,"['bedside table', 'bedside table_1']"
Can you provide the count of bedside tables?,bedside table,bedside table_1,"['bedside table', 'bedside table_1']"
Do you know how many bedside tables exist?,bedside table,bedside table_1,"['bedside table', 'bedside table_1']"
What's the number of bedside tables present?,bedside table,bedside table_1,"['bedside table', 'bedside table_1']"
How many courtyard doors are there?,courtyard door,courtyard door_1,"['courtyard door', 'courtyard door_1']"
Could you count the number of courtyard doors?,courtyard door,courtyard door_1,"['courtyard door', 'courtyard door_1']"
What's the total quantity of courtyard doors?,courtyard door,courtyard door_1,"['courtyard door', 'courtyard door_1']"
Can you provide the count of courtyard doors?,courtyard door,courtyard door_1,"['courtyard door', 'courtyard door_1']"
Do you know how many courtyard doors exist?,courtyard door,courtyard door_1,"['courtyard door', 'courtyard door_1']"
What's the number of courtyard doors present?,courtyard door,courtyard door_1,"['courtyard door', 'courtyard door_1']"
How many courtyard doors are there?,courtyard door,courtyard door_2,"['courtyard door', 'courtyard door_2']"
Could you count the number of courtyard doors?,courtyard door,courtyard door_2,"['courtyard door', 'courtyard door_2']"
What's the total quantity of courtyard doors?,courtyard door,courtyard door_2,"['courtyard door', 'courtyard door_2']"
Can you provide the count of courtyard doors?,courtyard door,courtyard door_2,"['courtyard door', 'courtyard door_2']"
Do you know how many courtyard doors exist?,courtyard door,courtyard door_2,"['courtyard door', 'courtyard door_2']"
What's the number of courtyard doors present?,courtyard door,courtyard door_2,"['courtyard door', 'courtyard door_2']"
How many courtyard doors are there?,courtyard door,courtyard door_3,"['courtyard door', 'courtyard door_3']"
Could you count the number of courtyard doors?,courtyard door,courtyard door_3,"['courtyard door', 'courtyard door_3']"
What's the total quantity of courtyard doors?,courtyard door,courtyard door_3,"['courtyard door', 'courtyard door_3']"
Can you provide the count of courtyard doors?,courtyard door,courtyard door_3,"['courtyard door', 'courtyard door_3']"
Do you know how many courtyard doors exist?,courtyard door,courtyard door_3,"['courtyard door', 'courtyard door_3']"
What's the number of courtyard doors present?,courtyard door,courtyard door_3,"['courtyard door', 'courtyard door_3']"
How many courtyard stairs are there?,courtyard stair,courtyard stair_1,"['courtyard stair', 'courtyard stair_1']"
Could you count the number of courtyard stairs?,courtyard stair,courtyard stair_1,"['courtyard stair', 'courtyard stair_1']"
What's the total quantity of courtyard stairs?,courtyard stair,courtyard stair_1,"['courtyard stair', 'courtyard stair_1']"
Can you provide the count of courtyard stairs?,courtyard stair,courtyard stair_1,"['courtyard stair', 'courtyard stair_1']"
Do you know how many courtyard stairs exist?,courtyard stair,courtyard stair_1,"['courtyard stair', 'courtyard stair_1']"
What's the number of courtyard stairs present?,courtyard stair,courtyard stair_1,"['courtyard stair', 'courtyard stair_1']"
How many hemnes drawers are there?,hemnes drawer,hemnes drawer_1,"['hemnes drawer', 'hemnes drawer_1']"
Could you count the number of hemnes drawers?,hemnes drawer,hemnes drawer_1,"['hemnes drawer', 'hemnes drawer_1']"
