Questions,Retrieved Tag,Retrieved Name,Retrieved Index
Can you provide the location of barracks_1?,barracks,barracks_1,"['barracks', 'barracks_1']"
Can barracks_1 be interacted with?,barracks,barracks_1,"['barracks', 'barracks_1']"
What kind of material is barracks_1 made of?,barracks,barracks_1,"['barracks', 'barracks_1']"
Could you describe the color of barracks_1?,barracks,barracks_1,"['barracks', 'barracks_1']"
How far is barracks_1 from the player?,barracks,barracks_1,"['barracks', 'barracks_1']"
Which direction is barracks_1 located relative to the player?,barracks,barracks_1,"['barracks', 'barracks_1']"
Can you provide the location of barracks_2?,barracks,barracks_2,"['barracks', 'barracks_2']"
Can barracks_2 be interacted with?,barracks,barracks_2,"['barracks', 'barracks_2']"
What kind of material is barracks_2 made of?,barracks,barracks_2,"['barracks', 'barracks_2']"
Could you describe the color of barracks_2?,barracks,barracks_2,"['barracks', 'barracks_2']"
How far is barracks_2 from the player?,barracks,barracks_2,"['barracks', 'barracks_2']"
Which direction is barracks_2 located relative to the player?,barracks,barracks_2,"['barracks', 'barracks_2']"
Can you provide the location of big house_1?,big house,big house_1,"['big house', 'big house_1']"
Can big house_1 be interacted with?,big house,big house_1,"['big house', 'big house_1']"
What kind of material is big house_1 made of?,big house,big house_1,"['big house', 'big house_1']"
Could you describe the color of big house_1?,big house,big house_1,"['big house', 'big house_1']"
How far is big house_1 from the player?,big house,big house_1,"['big house', 'big house_1']"
Which direction is big house_1 located relative to the player?,big house,big house_1,"['big house', 'big house_1']"
Can you provide the location of big house_2?,big house,big house_2,"['big house', 'big house_2']"
Can big house_2 be interacted with?,big house,big house_2,"['big house', 'big house_2']"
What kind of material is big house_2 made of?,big house,big house_2,"['big house', 'big house_2']"
Could you describe the color of big house_2?,big house,big house_2,"['big house', 'big house_2']"
How far is big house_2 from the player?,big house,big house_2,"['big house', 'big house_2']"
Which direction is big house_2 located relative to the player?,big house,big house_2,"['big house', 'big house_2']"
Can you provide the location of big house_3?,big house,big house_3,"['big house', 'big house_3']"
Can big house_3 be interacted with?,big house,big house_3,"['big house', 'big house_3']"
What kind of material is big house_3 made of?,big house,big house_3,"['big house', 'big house_3']"
Could you describe the color of big house_3?,big house,big house_3,"['big house', 'big house_3']"
How far is big house_3 from the player?,big house,big house_3,"['big house', 'big house_3']"
Which direction is big house_3 located relative to the player?,big house,big house_3,"['big house', 'big house_3']"
Can you provide the location of big house_4?,big house,big house_4,"['big house', 'big house_4']"
Can big house_4 be interacted with?,big house,big house_4,"['big house', 'big house_4']"
What kind of material is big house_4 made of?,big house,big house_4,"['big house', 'big house_4']"
Could you describe the color of big house_4?,big house,big house_4,"['big house', 'big house_4']"
How far is big house_4 from the player?,big house,big house_4,"['big house', 'big house_4']"
Which direction is big house_4 located relative to the player?,big house,big house_4,"['big house', 'big house_4']"
Can you provide the location of blacksmith's house_1?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
Can blacksmith's house_1 be interacted with?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
What kind of material is blacksmith's house_1 made of?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
Could you describe the color of blacksmith's house_1?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
How far is blacksmith's house_1 from the player?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
Which direction is blacksmith's house_1 located relative to the player?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
Can you provide the location of boat_1?,boat,boat_1,"['boat', 'boat_1']"
Can boat_1 be interacted with?,boat,boat_1,"['boat', 'boat_1']"
What kind of material is boat_1 made of?,boat,boat_1,"['boat', 'boat_1']"
Could you describe the color of boat_1?,boat,boat_1,"['boat', 'boat_1']"
How far is boat_1 from the player?,boat,boat_1,"['boat', 'boat_1']"
Which direction is boat_1 located relative to the player?,boat,boat_1,"['boat', 'boat_1']"
Can you provide the location of boat_2?,boat,boat_2,"['boat', 'boat_2']"
Can boat_2 be interacted with?,boat,boat_2,"['boat', 'boat_2']"
What kind of material is boat_2 made of?,boat,boat_2,"['boat', 'boat_2']"
Could you describe the color of boat_2?,boat,boat_2,"['boat', 'boat_2']"
How far is boat_2 from the player?,boat,boat_2,"['boat', 'boat_2']"
Which direction is boat_2 located relative to the player?,boat,boat_2,"['boat', 'boat_2']"
Can you provide the location of boat_3?,boat,boat_3,"['boat', 'boat_3']"
Can boat_3 be interacted with?,boat,boat_3,"['boat', 'boat_3']"
What kind of material is boat_3 made of?,boat,boat_3,"['boat', 'boat_3']"
Could you describe the color of boat_3?,boat,boat_3,"['boat', 'boat_3']"
How far is boat_3 from the player?,boat,boat_3,"['boat', 'boat_3']"
Which direction is boat_3 located relative to the player?,boat,boat_3,"['boat', 'boat_3']"
Can you provide the location of boat_4?,boat,boat_4,"['boat', 'boat_4']"
Can boat_4 be interacted with?,boat,boat_4,"['boat', 'boat_4']"
What kind of material is boat_4 made of?,boat,boat_4,"['boat', 'boat_4']"
Could you describe the color of boat_4?,boat,boat_4,"['boat', 'boat_4']"
How far is boat_4 from the player?,boat,boat_4,"['boat', 'boat_4']"
Which direction is boat_4 located relative to the player?,boat,boat_4,"['boat', 'boat_4']"
Can you provide the location of boat_5?,boat,boat_5,"['boat', 'boat_5']"
Can boat_5 be interacted with?,boat,boat_5,"['boat', 'boat_5']"
What kind of material is boat_5 made of?,boat,boat_5,"['boat', 'boat_5']"
Could you describe the color of boat_5?,boat,boat_5,"['boat', 'boat_5']"
How far is boat_5 from the player?,boat,boat_5,"['boat', 'boat_5']"
Which direction is boat_5 located relative to the player?,boat,boat_5,"['boat', 'boat_5']"
Can you provide the location of boat_6?,boat,boat_6,"['boat', 'boat_6']"
Can boat_6 be interacted with?,boat,boat_6,"['boat', 'boat_6']"
What kind of material is boat_6 made of?,boat,boat_6,"['boat', 'boat_6']"
Could you describe the color of boat_6?,boat,boat_6,"['boat', 'boat_6']"
How far is boat_6 from the player?,boat,boat_6,"['boat', 'boat_6']"
Which direction is boat_6 located relative to the player?,boat,boat_6,"['boat', 'boat_6']"
Can you provide the location of crane_1?,crane,crane_1,"['crane', 'crane_1']"
Can crane_1 be interacted with?,crane,crane_1,"['crane', 'crane_1']"
What kind of material is crane_1 made of?,crane,crane_1,"['crane', 'crane_1']"
Could you describe the color of crane_1?,crane,crane_1,"['crane', 'crane_1']"
How far is crane_1 from the player?,crane,crane_1,"['crane', 'crane_1']"
Which direction is crane_1 located relative to the player?,crane,crane_1,"['crane', 'crane_1']"
Can you provide the location of crane_2?,crane,crane_2,"['crane', 'crane_2']"
Can crane_2 be interacted with?,crane,crane_2,"['crane', 'crane_2']"
What kind of material is crane_2 made of?,crane,crane_2,"['crane', 'crane_2']"
Could you describe the color of crane_2?,crane,crane_2,"['crane', 'crane_2']"
How far is crane_2 from the player?,crane,crane_2,"['crane', 'crane_2']"
Which direction is crane_2 located relative to the player?,crane,crane_2,"['crane', 'crane_2']"
Can you provide the location of crane_3?,crane,crane_3,"['crane', 'crane_3']"
Can crane_3 be interacted with?,crane,crane_3,"['crane', 'crane_3']"
What kind of material is crane_3 made of?,crane,crane_3,"['crane', 'crane_3']"
Could you describe the color of crane_3?,crane,crane_3,"['crane', 'crane_3']"
How far is crane_3 from the player?,crane,crane_3,"['crane', 'crane_3']"
Which direction is crane_3 located relative to the player?,crane,crane_3,"['crane', 'crane_3']"
Can you provide the location of gate_1?,gate,gate_1,"['gate', 'gate_1']"
Can gate_1 be interacted with?,gate,gate_1,"['gate', 'gate_1']"
What kind of material is gate_1 made of?,gate,gate_1,"['gate', 'gate_1']"
Could you describe the color of gate_1?,gate,gate_1,"['gate', 'gate_1']"
How far is gate_1 from the player?,gate,gate_1,"['gate', 'gate_1']"
Which direction is gate_1 located relative to the player?,gate,gate_1,"['gate', 'gate_1']"
Can you provide the location of gate_2?,gate,gate_2,"['gate', 'gate_2']"
Can gate_2 be interacted with?,gate,gate_2,"['gate', 'gate_2']"
What kind of material is gate_2 made of?,gate,gate_2,"['gate', 'gate_2']"
Could you describe the color of gate_2?,gate,gate_2,"['gate', 'gate_2']"
How far is gate_2 from the player?,gate,gate_2,"['gate', 'gate_2']"
Which direction is gate_2 located relative to the player?,gate,gate_2,"['gate', 'gate_2']"
Can you provide the location of high roof house_1?,high roof house,high roof house_1,"['high roof house', 'high roof house_1']"
Can high roof house_1 be interacted with?,high roof house,high roof house_1,"['high roof house', 'high roof house_1']"
What kind of material is high roof house_1 made of?,high roof house,high roof house_1,"['high roof house', 'high roof house_1']"
Could you describe the color of high roof house_1?,high roof house,high roof house_1,"['high roof house', 'high roof house_1']"
How far is high roof house_1 from the player?,high roof house,high roof house_1,"['high roof house', 'high roof house_1']"
Which direction is high roof house_1 located relative to the player?,high roof house,high roof house_1,"['high roof house', 'high roof house_1']"
Can you provide the location of small house_1?,small house,small house_1,"['small house', 'small house_1']"
Can small house_1 be interacted with?,small house,small house_1,"['small house', 'small house_1']"
What kind of material is small house_1 made of?,small house,small house_1,"['small house', 'small house_1']"
Could you describe the color of small house_1?,small house,small house_1,"['small house', 'small house_1']"
How far is small house_1 from the player?,small house,small house_1,"['small house', 'small house_1']"
Which direction is small house_1 located relative to the player?,small house,small house_1,"['small house', 'small house_1']"
Can you provide the location of small house_2?,small house,small house_2,"['small house', 'small house_2']"
Can small house_2 be interacted with?,small house,small house_2,"['small house', 'small house_2']"
What kind of material is small house_2 made of?,small house,small house_2,"['small house', 'small house_2']"
Could you describe the color of small house_2?,small house,small house_2,"['small house', 'small house_2']"
How far is small house_2 from the player?,small house,small house_2,"['small house', 'small house_2']"
Which direction is small house_2 located relative to the player?,small house,small house_2,"['small house', 'small house_2']"
Can you provide the location of small house_3?,small house,small house_3,"['small house', 'small house_3']"
Can small house_3 be interacted with?,small house,small house_3,"['small house', 'small house_3']"
What kind of material is small house_3 made of?,small house,small house_3,"['small house', 'small house_3']"
Could you describe the color of small house_3?,small house,small house_3,"['small house', 'small house_3']"
How far is small house_3 from the player?,small house,small house_3,"['small house', 'small house_3']"
Which direction is small house_3 located relative to the player?,small house,small house_3,"['small house', 'small house_3']"
Can you provide the location of small house_4?,small house,small house_4,"['small house', 'small house_4']"
Can small house_4 be interacted with?,small house,small house_4,"['small house', 'small house_4']"
What kind of material is small house_4 made of?,small house,small house_4,"['small house', 'small house_4']"
Could you describe the color of small house_4?,small house,small house_4,"['small house', 'small house_4']"
How far is small house_4 from the player?,small house,small house_4,"['small house', 'small house_4']"
Which direction is small house_4 located relative to the player?,small house,small house_4,"['small house', 'small house_4']"
Can you provide the location of small house_5?,small house,small house_5,"['small house', 'small house_5']"
Can small house_5 be interacted with?,small house,small house_5,"['small house', 'small house_5']"
What kind of material is small house_5 made of?,small house,small house_5,"['small house', 'small house_5']"
Could you describe the color of small house_5?,small house,small house_5,"['small house', 'small house_5']"
How far is small house_5 from the player?,small house,small house_5,"['small house', 'small house_5']"
Which direction is small house_5 located relative to the player?,small house,small house_5,"['small house', 'small house_5']"
Can you provide the location of storehouse_1?,storehouse,storehouse_1,"['storehouse', 'storehouse_1']"
Can storehouse_1 be interacted with?,storehouse,storehouse_1,"['storehouse', 'storehouse_1']"
What kind of material is storehouse_1 made of?,storehouse,storehouse_1,"['storehouse', 'storehouse_1']"
Could you describe the color of storehouse_1?,storehouse,storehouse_1,"['storehouse', 'storehouse_1']"
How far is storehouse_1 from the player?,storehouse,storehouse_1,"['storehouse', 'storehouse_1']"
Which direction is storehouse_1 located relative to the player?,storehouse,storehouse_1,"['storehouse', 'storehouse_1']"
Can you provide the location of storehouse_2?,storehouse,storehouse_2,"['storehouse', 'storehouse_2']"
Can storehouse_2 be interacted with?,storehouse,storehouse_2,"['storehouse', 'storehouse_2']"
What kind of material is storehouse_2 made of?,storehouse,storehouse_2,"['storehouse', 'storehouse_2']"
Could you describe the color of storehouse_2?,storehouse,storehouse_2,"['storehouse', 'storehouse_2']"
How far is storehouse_2 from the player?,storehouse,storehouse_2,"['storehouse', 'storehouse_2']"
Which direction is storehouse_2 located relative to the player?,storehouse,storehouse_2,"['storehouse', 'storehouse_2']"
Can you provide the location of storehouse_3?,storehouse,storehouse_3,"['storehouse', 'storehouse_3']"
Can storehouse_3 be interacted with?,storehouse,storehouse_3,"['storehouse', 'storehouse_3']"
