Questions,Negative Retrieved Index
How many barrackss are there?,"['big house', 'big house_1']"
How many barrackss are there?,"['big house', 'big house_2']"
How many barrackss are there?,"['big house', 'big house_3']"
How many barrackss are there?,"['big house', 'big house_4']"
How many barrackss are there?,"[""blacksmith's house"", ""blacksmith's house_1""]"
How many barrackss are there?,"['boat', 'boat_1']"
How many barrackss are there?,"['boat', 'boat_2']"
How many barrackss are there?,"['boat', 'boat_3']"
How many barrackss are there?,"['boat', 'boat_4']"
How many barrackss are there?,"['boat', 'boat_5']"
How many barrackss are there?,"['boat', 'boat_6']"
How many barrackss are there?,"['crane', 'crane_1']"
How many barrackss are there?,"['crane', 'crane_2']"
How many barrackss are there?,"['crane', 'crane_3']"
How many barrackss are there?,"['gate', 'gate_1']"
How many barrackss are there?,"['gate', 'gate_2']"
How many barrackss are there?,"['high roof house', 'high roof house_1']"
How many barrackss are there?,"['small house', 'small house_1']"
How many barrackss are there?,"['small house', 'small house_2']"
How many barrackss are there?,"['small house', 'small house_3']"
How many barrackss are there?,"['small house', 'small house_4']"
How many barrackss are there?,"['small house', 'small house_5']"
How many barrackss are there?,"['storehouse', 'storehouse_1']"
How many barrackss are there?,"['storehouse', 'storehouse_2']"
How many barrackss are there?,"['storehouse', 'storehouse_3']"
How many barrackss are there?,"['straw roof house', 'straw roof house_1']"
How many barrackss are there?,"['straw roof house', 'straw roof house_2']"
How many barrackss are there?,"['straw roof house', 'straw roof house_3']"
Could you count the number of barrackss?,"['big house', 'big house_1']"
Could you count the number of barrackss?,"['big house', 'big house_2']"
Could you count the number of barrackss?,"['big house', 'big house_3']"
Could you count the number of barrackss?,"['big house', 'big house_4']"
Could you count the number of barrackss?,"[""blacksmith's house"", ""blacksmith's house_1""]"
Could you count the number of barrackss?,"['boat', 'boat_1']"
Could you count the number of barrackss?,"['boat', 'boat_2']"
Could you count the number of barrackss?,"['boat', 'boat_3']"
Could you count the number of barrackss?,"['boat', 'boat_4']"
Could you count the number of barrackss?,"['boat', 'boat_5']"
Could you count the number of barrackss?,"['boat', 'boat_6']"
Could you count the number of barrackss?,"['crane', 'crane_1']"
Could you count the number of barrackss?,"['crane', 'crane_2']"
Could you count the number of barrackss?,"['crane', 'crane_3']"
