Questions,Negative Retrieved Index
How many brown chocolates are there?,"['cash register', 'cash register_1']"
How many brown chocolates are there?,"['chipbox', 'chipbox_1']"
How many brown chocolates are there?,"['chipbox', 'chipbox_2']"
How many brown chocolates are there?,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
How many brown chocolates are there?,"['coffee poster', 'coffee poster_1']"
How many brown chocolates are there?,"['counter', 'counter_1']"
How many brown chocolates are there?,"['door', 'door_1']"
How many brown chocolates are there?,"['door', 'door_2']"
How many brown chocolates are there?,"['double door', 'double door_1']"
How many brown chocolates are there?,"['double door', 'double door_2']"
How many brown chocolates are there?,"['ice cream poster', 'ice cream poster_1']"
How many brown chocolates are there?,"['lemon poster', 'lemon poster_1']"
How many brown chocolates are there?,"['sale poster', 'sale poster_1']"
How many brown chocolates are there?,"['sidetable', 'sidetable_1']"
How many brown chocolates are there?,"['sidetable', 'sidetable_2']"
How many brown chocolates are there?,"['sidetable', 'sidetable_3']"
How many brown chocolates are there?,"['sidetable', 'sidetable_4']"
How many brown chocolates are there?,"['small shelf', 'small shelf_1']"
How many brown chocolates are there?,"['small shelf', 'small shelf_2']"
How many brown chocolates are there?,"['small shelf', 'small shelf_3']"
How many brown chocolates are there?,"['small shelf', 'small shelf_4']"
How many brown chocolates are there?,"['vending machine', 'vending machine_1']"
How many brown chocolates are there?,"['vending machine', 'vending machine_2']"
How many brown chocolates are there?,"['water bottle', 'water bottle_1']"
How many brown chocolates are there?,"['water bottle', 'water bottle_2']"
How many brown chocolates are there?,"['water bottle', 'water bottle_3']"
How many brown chocolates are there?,"['water bottle', 'water bottle_4']"
How many brown chocolates are there?,"['welcome signboard', 'welcome signboard_1']"
How many brown chocolates are there?,"['white chocolate', 'white chocolate_1']"
How many brown chocolates are there?,"['white chocolate', 'white chocolate_2']"
How many brown chocolates are there?,"['yellow chocolate', 'yellow chocolate_1']"
How many brown chocolates are there?,"['yellow chocolate', 'yellow chocolate_2']"
Could you count the number of brown chocolates?,"['cash register', 'cash register_1']"
Could you count the number of brown chocolates?,"['chipbox', 'chipbox_1']"
Could you count the number of brown chocolates?,"['chipbox', 'chipbox_2']"
Could you count the number of brown chocolates?,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
Could you count the number of brown chocolates?,"['coffee poster', 'coffee poster_1']"
Could you count the number of brown chocolates?,"['counter', 'counter_1']"
Could you count the number of brown chocolates?,"['door', 'door_1']"
Could you count the number of brown chocolates?,"['door', 'door_2']"
Could you count the number of brown chocolates?,"['double door', 'double door_1']"
Could you count the number of brown chocolates?,"['double door', 'double door_2']"
Could you count the number of brown chocolates?,"['ice cream poster', 'ice cream poster_1']"
Could you count the number of brown chocolates?,"['lemon poster', 'lemon poster_1']"
Could you count the number of brown chocolates?,"['sale poster', 'sale poster_1']"
Could you count the number of brown chocolates?,"['sidetable', 'sidetable_1']"
Could you count the number of brown chocolates?,"['sidetable', 'sidetable_2']"
Could you count the number of brown chocolates?,"['sidetable', 'sidetable_3']"
Could you count the number of brown chocolates?,"['sidetable', 'sidetable_4']"
Could you count the number of brown chocolates?,"['small shelf', 'small shelf_1']"
Could you count the number of brown chocolates?,"['small shelf', 'small shelf_2']"
Could you count the number of brown chocolates?,"['small shelf', 'small shelf_3']"
Could you count the number of brown chocolates?,"['small shelf', 'small shelf_4']"
Could you count the number of brown chocolates?,"['vending machine', 'vending machine_1']"
Could you count the number of brown chocolates?,"['vending machine', 'vending machine_2']"
Could you count the number of brown chocolates?,"['water bottle', 'water bottle_1']"
Could you count the number of brown chocolates?,"['water bottle', 'water bottle_2']"
Could you count the number of brown chocolates?,"['water bottle', 'water bottle_3']"
Could you count the number of brown chocolates?,"['water bottle', 'water bottle_4']"
Could you count the number of brown chocolates?,"['welcome signboard', 'welcome signboard_1']"
Could you count the number of brown chocolates?,"['white chocolate', 'white chocolate_1']"
Could you count the number of brown chocolates?,"['white chocolate', 'white chocolate_2']"
Could you count the number of brown chocolates?,"['yellow chocolate', 'yellow chocolate_1']"
Could you count the number of brown chocolates?,"['yellow chocolate', 'yellow chocolate_2']"
What's the total quantity of brown chocolates?,"['cash register', 'cash register_1']"
What's the total quantity of brown chocolates?,"['chipbox', 'chipbox_1']"
What's the total quantity of brown chocolates?,"['chipbox', 'chipbox_2']"
What's the total quantity of brown chocolates?,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
What's the total quantity of brown chocolates?,"['coffee poster', 'coffee poster_1']"
What's the total quantity of brown chocolates?,"['counter', 'counter_1']"
What's the total quantity of brown chocolates?,"['door', 'door_1']"
What's the total quantity of brown chocolates?,"['door', 'door_2']"
What's the total quantity of brown chocolates?,"['double door', 'double door_1']"
What's the total quantity of brown chocolates?,"['double door', 'double door_2']"
What's the total quantity of brown chocolates?,"['ice cream poster', 'ice cream poster_1']"
What's the total quantity of brown chocolates?,"['lemon poster', 'lemon poster_1']"
What's the total quantity of brown chocolates?,"['sale poster', 'sale poster_1']"
What's the total quantity of brown chocolates?,"['sidetable', 'sidetable_1']"
What's the total quantity of brown chocolates?,"['sidetable', 'sidetable_2']"
What's the total quantity of brown chocolates?,"['sidetable', 'sidetable_3']"
What's the total quantity of brown chocolates?,"['sidetable', 'sidetable_4']"
What's the total quantity of brown chocolates?,"['small shelf', 'small shelf_1']"
What's the total quantity of brown chocolates?,"['small shelf', 'small shelf_2']"
What's the total quantity of brown chocolates?,"['small shelf', 'small shelf_3']"
What's the total quantity of brown chocolates?,"['small shelf', 'small shelf_4']"
What's the total quantity of brown chocolates?,"['vending machine', 'vending machine_1']"
What's the total quantity of brown chocolates?,"['vending machine', 'vending machine_2']"
What's the total quantity of brown chocolates?,"['water bottle', 'water bottle_1']"
What's the total quantity of brown chocolates?,"['water bottle', 'water bottle_2']"
What's the total quantity of brown chocolates?,"['water bottle', 'water bottle_3']"
What's the total quantity of brown chocolates?,"['water bottle', 'water bottle_4']"
What's the total quantity of brown chocolates?,"['welcome signboard', 'welcome signboard_1']"
What's the total quantity of brown chocolates?,"['white chocolate', 'white chocolate_1']"
What's the total quantity of brown chocolates?,"['white chocolate', 'white chocolate_2']"
What's the total quantity of brown chocolates?,"['yellow chocolate', 'yellow chocolate_1']"
What's the total quantity of brown chocolates?,"['yellow chocolate', 'yellow chocolate_2']"
Can you provide the count of brown chocolates?,"['cash register', 'cash register_1']"
Can you provide the count of brown chocolates?,"['chipbox', 'chipbox_1']"
Can you provide the count of brown chocolates?,"['chipbox', 'chipbox_2']"
Can you provide the count of brown chocolates?,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
Can you provide the count of brown chocolates?,"['coffee poster', 'coffee poster_1']"
Can you provide the count of brown chocolates?,"['counter', 'counter_1']"
Can you provide the count of brown chocolates?,"['door', 'door_1']"
Can you provide the count of brown chocolates?,"['door', 'door_2']"
Can you provide the count of brown chocolates?,"['double door', 'double door_1']"
Can you provide the count of brown chocolates?,"['double door', 'double door_2']"
Can you provide the count of brown chocolates?,"['ice cream poster', 'ice cream poster_1']"
Can you provide the count of brown chocolates?,"['lemon poster', 'lemon poster_1']"
Can you provide the count of brown chocolates?,"['sale poster', 'sale poster_1']"
Can you provide the count of brown chocolates?,"['sidetable', 'sidetable_1']"
Can you provide the count of brown chocolates?,"['sidetable', 'sidetable_2']"
Can you provide the count of brown chocolates?,"['sidetable', 'sidetable_3']"
Can you provide the count of brown chocolates?,"['sidetable', 'sidetable_4']"
Can you provide the count of brown chocolates?,"['small shelf', 'small shelf_1']"
Can you provide the count of brown chocolates?,"['small shelf', 'small shelf_2']"
