Questions,Hard Negative Retrieved Index
Can you provide the location of cabinet_1?,"['cabinet', 'cabinet_2']"
Can you provide the location of cabinet_1?,"['cabinet', 'cabinet_3']"
Can you provide the location of cabinet_1?,"['cabinet', 'cabinet_4']"
Can cabinet_1 be interacted with?,"['cabinet', 'cabinet_2']"
Can cabinet_1 be interacted with?,"['cabinet', 'cabinet_3']"
Can cabinet_1 be interacted with?,"['cabinet', 'cabinet_4']"
What kind of material is cabinet_1 made of?,"['cabinet', 'cabinet_2']"
What kind of material is cabinet_1 made of?,"['cabinet', 'cabinet_3']"
What kind of material is cabinet_1 made of?,"['cabinet', 'cabinet_4']"
Could you describe the color of cabinet_1?,"['cabinet', 'cabinet_2']"
Could you describe the color of cabinet_1?,"['cabinet', 'cabinet_3']"
Could you describe the color of cabinet_1?,"['cabinet', 'cabinet_4']"
How far is cabinet_1 from the player?,"['cabinet', 'cabinet_2']"
How far is cabinet_1 from the player?,"['cabinet', 'cabinet_3']"
How far is cabinet_1 from the player?,"['cabinet', 'cabinet_4']"
Which direction is cabinet_1 located relative to the player?,"['cabinet', 'cabinet_2']"
Which direction is cabinet_1 located relative to the player?,"['cabinet', 'cabinet_3']"
Which direction is cabinet_1 located relative to the player?,"['cabinet', 'cabinet_4']"
Can you provide the location of cabinet_2?,"['cabinet', 'cabinet_1']"
Can you provide the location of cabinet_2?,"['cabinet', 'cabinet_3']"
Can you provide the location of cabinet_2?,"['cabinet', 'cabinet_4']"
Can cabinet_2 be interacted with?,"['cabinet', 'cabinet_1']"
Can cabinet_2 be interacted with?,"['cabinet', 'cabinet_3']"
Can cabinet_2 be interacted with?,"['cabinet', 'cabinet_4']"
What kind of material is cabinet_2 made of?,"['cabinet', 'cabinet_1']"
What kind of material is cabinet_2 made of?,"['cabinet', 'cabinet_3']"
What kind of material is cabinet_2 made of?,"['cabinet', 'cabinet_4']"
Could you describe the color of cabinet_2?,"['cabinet', 'cabinet_1']"
Could you describe the color of cabinet_2?,"['cabinet', 'cabinet_3']"
Could you describe the color of cabinet_2?,"['cabinet', 'cabinet_4']"
How far is cabinet_2 from the player?,"['cabinet', 'cabinet_1']"
How far is cabinet_2 from the player?,"['cabinet', 'cabinet_3']"
How far is cabinet_2 from the player?,"['cabinet', 'cabinet_4']"
Which direction is cabinet_2 located relative to the player?,"['cabinet', 'cabinet_1']"
Which direction is cabinet_2 located relative to the player?,"['cabinet', 'cabinet_3']"
Which direction is cabinet_2 located relative to the player?,"['cabinet', 'cabinet_4']"
Can you provide the location of cabinet_3?,"['cabinet', 'cabinet_1']"
Can you provide the location of cabinet_3?,"['cabinet', 'cabinet_2']"
Can you provide the location of cabinet_3?,"['cabinet', 'cabinet_4']"
Can cabinet_3 be interacted with?,"['cabinet', 'cabinet_1']"
Can cabinet_3 be interacted with?,"['cabinet', 'cabinet_2']"
Can cabinet_3 be interacted with?,"['cabinet', 'cabinet_4']"
What kind of material is cabinet_3 made of?,"['cabinet', 'cabinet_1']"
What kind of material is cabinet_3 made of?,"['cabinet', 'cabinet_2']"
What kind of material is cabinet_3 made of?,"['cabinet', 'cabinet_4']"
Could you describe the color of cabinet_3?,"['cabinet', 'cabinet_1']"
Could you describe the color of cabinet_3?,"['cabinet', 'cabinet_2']"
Could you describe the color of cabinet_3?,"['cabinet', 'cabinet_4']"
How far is cabinet_3 from the player?,"['cabinet', 'cabinet_1']"
How far is cabinet_3 from the player?,"['cabinet', 'cabinet_2']"
How far is cabinet_3 from the player?,"['cabinet', 'cabinet_4']"
Which direction is cabinet_3 located relative to the player?,"['cabinet', 'cabinet_1']"
Which direction is cabinet_3 located relative to the player?,"['cabinet', 'cabinet_2']"
Which direction is cabinet_3 located relative to the player?,"['cabinet', 'cabinet_4']"
Can you provide the location of cabinet_4?,"['cabinet', 'cabinet_1']"
Can you provide the location of cabinet_4?,"['cabinet', 'cabinet_2']"
Can you provide the location of cabinet_4?,"['cabinet', 'cabinet_3']"
Can cabinet_4 be interacted with?,"['cabinet', 'cabinet_1']"
Can cabinet_4 be interacted with?,"['cabinet', 'cabinet_2']"
Can cabinet_4 be interacted with?,"['cabinet', 'cabinet_3']"
What kind of material is cabinet_4 made of?,"['cabinet', 'cabinet_1']"
What kind of material is cabinet_4 made of?,"['cabinet', 'cabinet_2']"
What kind of material is cabinet_4 made of?,"['cabinet', 'cabinet_3']"
Could you describe the color of cabinet_4?,"['cabinet', 'cabinet_1']"
Could you describe the color of cabinet_4?,"['cabinet', 'cabinet_2']"
Could you describe the color of cabinet_4?,"['cabinet', 'cabinet_3']"
How far is cabinet_4 from the player?,"['cabinet', 'cabinet_1']"
How far is cabinet_4 from the player?,"['cabinet', 'cabinet_2']"
How far is cabinet_4 from the player?,"['cabinet', 'cabinet_3']"
Which direction is cabinet_4 located relative to the player?,"['cabinet', 'cabinet_1']"
Which direction is cabinet_4 located relative to the player?,"['cabinet', 'cabinet_2']"
Which direction is cabinet_4 located relative to the player?,"['cabinet', 'cabinet_3']"
Can you provide the location of door_1?,"['door', 'door_2']"
Can door_1 be interacted with?,"['door', 'door_2']"
What kind of material is door_1 made of?,"['door', 'door_2']"
Could you describe the color of door_1?,"['door', 'door_2']"
How far is door_1 from the player?,"['door', 'door_2']"
Which direction is door_1 located relative to the player?,"['door', 'door_2']"
Can you provide the location of door_2?,"['door', 'door_1']"
Can door_2 be interacted with?,"['door', 'door_1']"
What kind of material is door_2 made of?,"['door', 'door_1']"
Could you describe the color of door_2?,"['door', 'door_1']"
How far is door_2 from the player?,"['door', 'door_1']"
Which direction is door_2 located relative to the player?,"['door', 'door_1']"
Can you provide the location of office tray_1?,"['office tray', 'office tray_2']"
Can office tray_1 be interacted with?,"['office tray', 'office tray_2']"
What kind of material is office tray_1 made of?,"['office tray', 'office tray_2']"
Could you describe the color of office tray_1?,"['office tray', 'office tray_2']"
How far is office tray_1 from the player?,"['office tray', 'office tray_2']"
Which direction is office tray_1 located relative to the player?,"['office tray', 'office tray_2']"
Can you provide the location of office tray_2?,"['office tray', 'office tray_1']"
Can office tray_2 be interacted with?,"['office tray', 'office tray_1']"
What kind of material is office tray_2 made of?,"['office tray', 'office tray_1']"
Could you describe the color of office tray_2?,"['office tray', 'office tray_1']"
How far is office tray_2 from the player?,"['office tray', 'office tray_1']"
Which direction is office tray_2 located relative to the player?,"['office tray', 'office tray_1']"
Can you provide the location of paper tray_1?,"['paper tray', 'paper tray_2']"
Can you provide the location of paper tray_1?,"['paper tray', 'paper tray_3']"
Can you provide the location of paper tray_1?,"['paper tray', 'paper tray_4']"
Can you provide the location of paper tray_1?,"['paper tray', 'paper tray_5']"
Can paper tray_1 be interacted with?,"['paper tray', 'paper tray_2']"
Can paper tray_1 be interacted with?,"['paper tray', 'paper tray_3']"
Can paper tray_1 be interacted with?,"['paper tray', 'paper tray_4']"
Can paper tray_1 be interacted with?,"['paper tray', 'paper tray_5']"
What kind of material is paper tray_1 made of?,"['paper tray', 'paper tray_2']"
What kind of material is paper tray_1 made of?,"['paper tray', 'paper tray_3']"
What kind of material is paper tray_1 made of?,"['paper tray', 'paper tray_4']"
What kind of material is paper tray_1 made of?,"['paper tray', 'paper tray_5']"
Could you describe the color of paper tray_1?,"['paper tray', 'paper tray_2']"
Could you describe the color of paper tray_1?,"['paper tray', 'paper tray_3']"
Could you describe the color of paper tray_1?,"['paper tray', 'paper tray_4']"
Could you describe the color of paper tray_1?,"['paper tray', 'paper tray_5']"
How far is paper tray_1 from the player?,"['paper tray', 'paper tray_2']"
How far is paper tray_1 from the player?,"['paper tray', 'paper tray_3']"
How far is paper tray_1 from the player?,"['paper tray', 'paper tray_4']"
How far is paper tray_1 from the player?,"['paper tray', 'paper tray_5']"
Which direction is paper tray_1 located relative to the player?,"['paper tray', 'paper tray_2']"
Which direction is paper tray_1 located relative to the player?,"['paper tray', 'paper tray_3']"
Which direction is paper tray_1 located relative to the player?,"['paper tray', 'paper tray_4']"
Which direction is paper tray_1 located relative to the player?,"['paper tray', 'paper tray_5']"
Can you provide the location of paper tray_2?,"['paper tray', 'paper tray_1']"
Can you provide the location of paper tray_2?,"['paper tray', 'paper tray_3']"
Can you provide the location of paper tray_2?,"['paper tray', 'paper tray_4']"
Can you provide the location of paper tray_2?,"['paper tray', 'paper tray_5']"
Can paper tray_2 be interacted with?,"['paper tray', 'paper tray_1']"
Can paper tray_2 be interacted with?,"['paper tray', 'paper tray_3']"
Can paper tray_2 be interacted with?,"['paper tray', 'paper tray_4']"
Can paper tray_2 be interacted with?,"['paper tray', 'paper tray_5']"
What kind of material is paper tray_2 made of?,"['paper tray', 'paper tray_1']"
What kind of material is paper tray_2 made of?,"['paper tray', 'paper tray_3']"
What kind of material is paper tray_2 made of?,"['paper tray', 'paper tray_4']"
What kind of material is paper tray_2 made of?,"['paper tray', 'paper tray_5']"
Could you describe the color of paper tray_2?,"['paper tray', 'paper tray_1']"
Could you describe the color of paper tray_2?,"['paper tray', 'paper tray_3']"
Could you describe the color of paper tray_2?,"['paper tray', 'paper tray_4']"
Could you describe the color of paper tray_2?,"['paper tray', 'paper tray_5']"
How far is paper tray_2 from the player?,"['paper tray', 'paper tray_1']"
How far is paper tray_2 from the player?,"['paper tray', 'paper tray_3']"
How far is paper tray_2 from the player?,"['paper tray', 'paper tray_4']"
How far is paper tray_2 from the player?,"['paper tray', 'paper tray_5']"
Which direction is paper tray_2 located relative to the player?,"['paper tray', 'paper tray_1']"
Which direction is paper tray_2 located relative to the player?,"['paper tray', 'paper tray_3']"
Which direction is paper tray_2 located relative to the player?,"['paper tray', 'paper tray_4']"
Which direction is paper tray_2 located relative to the player?,"['paper tray', 'paper tray_5']"
Can you provide the location of paper tray_3?,"['paper tray', 'paper tray_1']"
Can you provide the location of paper tray_3?,"['paper tray', 'paper tray_2']"
