Questions,Negative Retrieved Index
Can you provide the location of big sign_1?,"['display shelf', 'display shelf_1']"
Can you provide the location of big sign_1?,"['handdryer', 'handdryer_1']"
Can you provide the location of big sign_1?,"['handdryer', 'handdryer_2']"
Can you provide the location of big sign_1?,"[""men's room"", ""men's room_1""]"
Can you provide the location of big sign_1?,"['mirror', 'mirror_1']"
Can you provide the location of big sign_1?,"['mirror', 'mirror_2']"
Can you provide the location of big sign_1?,"['paper towel dispenser', 'paper towel dispenser_1']"
Can you provide the location of big sign_1?,"['paper towel dispenser', 'paper towel dispenser_2']"
Can you provide the location of big sign_1?,"['payment device', 'payment device_1']"
Can you provide the location of big sign_1?,"['payment device', 'payment device_2']"
Can you provide the location of big sign_1?,"['receipt printer', 'receipt printer_1']"
Can you provide the location of big sign_1?,"['receipt printer', 'receipt printer_2']"
Can you provide the location of big sign_1?,"['register', 'register_1']"
Can you provide the location of big sign_1?,"['register', 'register_2']"
Can you provide the location of big sign_1?,"['self-checkout kiosk', 'self-checkout kiosk_1']"
Can you provide the location of big sign_1?,"['service plate', 'service plate_1']"
Can you provide the location of big sign_1?,"['service plate', 'service plate_2']"
Can you provide the location of big sign_1?,"['sink', 'sink_1']"
Can you provide the location of big sign_1?,"['sink', 'sink_2']"
Can you provide the location of big sign_1?,"['soap dispenser', 'soap dispenser_1']"
Can you provide the location of big sign_1?,"['soap dispenser', 'soap dispenser_2']"
Can you provide the location of big sign_1?,"['toilet', 'toilet_1']"
Can you provide the location of big sign_1?,"['toilet', 'toilet_2']"
Can you provide the location of big sign_1?,"['trash bin', 'trash bin_1']"
Can you provide the location of big sign_1?,"['tray', 'tray_1']"
Can you provide the location of big sign_1?,"['tray', 'tray_2']"
Can you provide the location of big sign_1?,"['tray', 'tray_3']"
Can you provide the location of big sign_1?,"['tray', 'tray_4']"
Can you provide the location of big sign_1?,"['urinal', 'urinal_1']"
Can you provide the location of big sign_1?,"['water drinking machine', 'water drinking machine_1']"
Can you provide the location of big sign_1?,"[""women's room"", ""women's room_1""]"
Can big sign_1 be interacted with?,"['display shelf', 'display shelf_1']"
Can big sign_1 be interacted with?,"['handdryer', 'handdryer_1']"
Can big sign_1 be interacted with?,"['handdryer', 'handdryer_2']"
Can big sign_1 be interacted with?,"[""men's room"", ""men's room_1""]"
Can big sign_1 be interacted with?,"['mirror', 'mirror_1']"
Can big sign_1 be interacted with?,"['mirror', 'mirror_2']"
Can big sign_1 be interacted with?,"['paper towel dispenser', 'paper towel dispenser_1']"
Can big sign_1 be interacted with?,"['paper towel dispenser', 'paper towel dispenser_2']"
Can big sign_1 be interacted with?,"['payment device', 'payment device_1']"
Can big sign_1 be interacted with?,"['payment device', 'payment device_2']"
Can big sign_1 be interacted with?,"['receipt printer', 'receipt printer_1']"
Can big sign_1 be interacted with?,"['receipt printer', 'receipt printer_2']"
Can big sign_1 be interacted with?,"['register', 'register_1']"
Can big sign_1 be interacted with?,"['register', 'register_2']"
Can big sign_1 be interacted with?,"['self-checkout kiosk', 'self-checkout kiosk_1']"
Can big sign_1 be interacted with?,"['service plate', 'service plate_1']"
Can big sign_1 be interacted with?,"['service plate', 'service plate_2']"
Can big sign_1 be interacted with?,"['sink', 'sink_1']"
Can big sign_1 be interacted with?,"['sink', 'sink_2']"
Can big sign_1 be interacted with?,"['soap dispenser', 'soap dispenser_1']"
Can big sign_1 be interacted with?,"['soap dispenser', 'soap dispenser_2']"
Can big sign_1 be interacted with?,"['toilet', 'toilet_1']"
Can big sign_1 be interacted with?,"['toilet', 'toilet_2']"
Can big sign_1 be interacted with?,"['trash bin', 'trash bin_1']"
Can big sign_1 be interacted with?,"['tray', 'tray_1']"
Can big sign_1 be interacted with?,"['tray', 'tray_2']"
Can big sign_1 be interacted with?,"['tray', 'tray_3']"
Can big sign_1 be interacted with?,"['tray', 'tray_4']"
Can big sign_1 be interacted with?,"['urinal', 'urinal_1']"
Can big sign_1 be interacted with?,"['water drinking machine', 'water drinking machine_1']"
Can big sign_1 be interacted with?,"[""women's room"", ""women's room_1""]"
What kind of material is big sign_1 made of?,"['display shelf', 'display shelf_1']"
What kind of material is big sign_1 made of?,"['handdryer', 'handdryer_1']"
What kind of material is big sign_1 made of?,"['handdryer', 'handdryer_2']"
What kind of material is big sign_1 made of?,"[""men's room"", ""men's room_1""]"
What kind of material is big sign_1 made of?,"['mirror', 'mirror_1']"
What kind of material is big sign_1 made of?,"['mirror', 'mirror_2']"
What kind of material is big sign_1 made of?,"['paper towel dispenser', 'paper towel dispenser_1']"
What kind of material is big sign_1 made of?,"['paper towel dispenser', 'paper towel dispenser_2']"
What kind of material is big sign_1 made of?,"['payment device', 'payment device_1']"
What kind of material is big sign_1 made of?,"['payment device', 'payment device_2']"
What kind of material is big sign_1 made of?,"['receipt printer', 'receipt printer_1']"
What kind of material is big sign_1 made of?,"['receipt printer', 'receipt printer_2']"
What kind of material is big sign_1 made of?,"['register', 'register_1']"
What kind of material is big sign_1 made of?,"['register', 'register_2']"
What kind of material is big sign_1 made of?,"['self-checkout kiosk', 'self-checkout kiosk_1']"
What kind of material is big sign_1 made of?,"['service plate', 'service plate_1']"
What kind of material is big sign_1 made of?,"['service plate', 'service plate_2']"
What kind of material is big sign_1 made of?,"['sink', 'sink_1']"
What kind of material is big sign_1 made of?,"['sink', 'sink_2']"
What kind of material is big sign_1 made of?,"['soap dispenser', 'soap dispenser_1']"
What kind of material is big sign_1 made of?,"['soap dispenser', 'soap dispenser_2']"
What kind of material is big sign_1 made of?,"['toilet', 'toilet_1']"
What kind of material is big sign_1 made of?,"['toilet', 'toilet_2']"
What kind of material is big sign_1 made of?,"['trash bin', 'trash bin_1']"
What kind of material is big sign_1 made of?,"['tray', 'tray_1']"
What kind of material is big sign_1 made of?,"['tray', 'tray_2']"
What kind of material is big sign_1 made of?,"['tray', 'tray_3']"
What kind of material is big sign_1 made of?,"['tray', 'tray_4']"
What kind of material is big sign_1 made of?,"['urinal', 'urinal_1']"
What kind of material is big sign_1 made of?,"['water drinking machine', 'water drinking machine_1']"
What kind of material is big sign_1 made of?,"[""women's room"", ""women's room_1""]"
Could you describe the color of big sign_1?,"['display shelf', 'display shelf_1']"
Could you describe the color of big sign_1?,"['handdryer', 'handdryer_1']"
Could you describe the color of big sign_1?,"['handdryer', 'handdryer_2']"
Could you describe the color of big sign_1?,"[""men's room"", ""men's room_1""]"
Could you describe the color of big sign_1?,"['mirror', 'mirror_1']"
Could you describe the color of big sign_1?,"['mirror', 'mirror_2']"
Could you describe the color of big sign_1?,"['paper towel dispenser', 'paper towel dispenser_1']"
Could you describe the color of big sign_1?,"['paper towel dispenser', 'paper towel dispenser_2']"
Could you describe the color of big sign_1?,"['payment device', 'payment device_1']"
Could you describe the color of big sign_1?,"['payment device', 'payment device_2']"
Could you describe the color of big sign_1?,"['receipt printer', 'receipt printer_1']"
Could you describe the color of big sign_1?,"['receipt printer', 'receipt printer_2']"
Could you describe the color of big sign_1?,"['register', 'register_1']"
Could you describe the color of big sign_1?,"['register', 'register_2']"
Could you describe the color of big sign_1?,"['self-checkout kiosk', 'self-checkout kiosk_1']"
Could you describe the color of big sign_1?,"['service plate', 'service plate_1']"
Could you describe the color of big sign_1?,"['service plate', 'service plate_2']"
Could you describe the color of big sign_1?,"['sink', 'sink_1']"
Could you describe the color of big sign_1?,"['sink', 'sink_2']"
Could you describe the color of big sign_1?,"['soap dispenser', 'soap dispenser_1']"
Could you describe the color of big sign_1?,"['soap dispenser', 'soap dispenser_2']"
