Questions,Retrieved Tag,Retrieved Name,Retrieved Index
How many cabinets are there?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
Could you count the number of cabinets?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
What's the total quantity of cabinets?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
Can you provide the count of cabinets?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
Do you know how many cabinets exist?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
What's the number of cabinets present?,cabinet,cabinet_1,"['cabinet', 'cabinet_1']"
How many cabinets are there?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
Could you count the number of cabinets?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
What's the total quantity of cabinets?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
Can you provide the count of cabinets?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
Do you know how many cabinets exist?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
What's the number of cabinets present?,cabinet,cabinet_2,"['cabinet', 'cabinet_2']"
How many cabinets are there?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
Could you count the number of cabinets?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
What's the total quantity of cabinets?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
Can you provide the count of cabinets?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
Do you know how many cabinets exist?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
What's the number of cabinets present?,cabinet,cabinet_3,"['cabinet', 'cabinet_3']"
How many cabinets are there?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
Could you count the number of cabinets?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
What's the total quantity of cabinets?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
Can you provide the count of cabinets?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
Do you know how many cabinets exist?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
What's the number of cabinets present?,cabinet,cabinet_4,"['cabinet', 'cabinet_4']"
How many clocks are there?,clock,clock_1,"['clock', 'clock_1']"
Could you count the number of clocks?,clock,clock_1,"['clock', 'clock_1']"
What's the total quantity of clocks?,clock,clock_1,"['clock', 'clock_1']"
Can you provide the count of clocks?,clock,clock_1,"['clock', 'clock_1']"
Do you know how many clocks exist?,clock,clock_1,"['clock', 'clock_1']"
What's the number of clocks present?,clock,clock_1,"['clock', 'clock_1']"
How many coffee machines are there?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
Could you count the number of coffee machines?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
What's the total quantity of coffee machines?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
Can you provide the count of coffee machines?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
Do you know how many coffee machines exist?,coffee machine,coffee machine_1,"['coffee machine', 'coffee machine_1']"
