Questions,Negative Retrieved Index
Can you provide the location of brown chocolate_1?,"['cash register', 'cash register_1']"
Can you provide the location of brown chocolate_1?,"['chipbox', 'chipbox_1']"
Can you provide the location of brown chocolate_1?,"['chipbox', 'chipbox_2']"
Can you provide the location of brown chocolate_1?,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
Can you provide the location of brown chocolate_1?,"['coffee poster', 'coffee poster_1']"
Can you provide the location of brown chocolate_1?,"['counter', 'counter_1']"
Can you provide the location of brown chocolate_1?,"['door', 'door_1']"
Can you provide the location of brown chocolate_1?,"['door', 'door_2']"
Can you provide the location of brown chocolate_1?,"['double door', 'double door_1']"
Can you provide the location of brown chocolate_1?,"['double door', 'double door_2']"
Can you provide the location of brown chocolate_1?,"['ice cream poster', 'ice cream poster_1']"
Can you provide the location of brown chocolate_1?,"['lemon poster', 'lemon poster_1']"
Can you provide the location of brown chocolate_1?,"['sale poster', 'sale poster_1']"
Can you provide the location of brown chocolate_1?,"['sidetable', 'sidetable_1']"
Can you provide the location of brown chocolate_1?,"['sidetable', 'sidetable_2']"
Can you provide the location of brown chocolate_1?,"['sidetable', 'sidetable_3']"
Can you provide the location of brown chocolate_1?,"['sidetable', 'sidetable_4']"
Can you provide the location of brown chocolate_1?,"['small shelf', 'small shelf_1']"
Can you provide the location of brown chocolate_1?,"['small shelf', 'small shelf_2']"
Can you provide the location of brown chocolate_1?,"['small shelf', 'small shelf_3']"
Can you provide the location of brown chocolate_1?,"['small shelf', 'small shelf_4']"
Can you provide the location of brown chocolate_1?,"['vending machine', 'vending machine_1']"
Can you provide the location of brown chocolate_1?,"['vending machine', 'vending machine_2']"
Can you provide the location of brown chocolate_1?,"['water bottle', 'water bottle_1']"
Can you provide the location of brown chocolate_1?,"['water bottle', 'water bottle_2']"
Can you provide the location of brown chocolate_1?,"['water bottle', 'water bottle_3']"
Can you provide the location of brown chocolate_1?,"['water bottle', 'water bottle_4']"
Can you provide the location of brown chocolate_1?,"['welcome signboard', 'welcome signboard_1']"
Can you provide the location of brown chocolate_1?,"['white chocolate', 'white chocolate_1']"
Can you provide the location of brown chocolate_1?,"['white chocolate', 'white chocolate_2']"
Can you provide the location of brown chocolate_1?,"['yellow chocolate', 'yellow chocolate_1']"
Can you provide the location of brown chocolate_1?,"['yellow chocolate', 'yellow chocolate_2']"
Can brown chocolate_1 be interacted with?,"['cash register', 'cash register_1']"
Can brown chocolate_1 be interacted with?,"['chipbox', 'chipbox_1']"
Can brown chocolate_1 be interacted with?,"['chipbox', 'chipbox_2']"
Can brown chocolate_1 be interacted with?,"['chocolate ice cream poster', 'chocolate ice cream poster_1']"
Can brown chocolate_1 be interacted with?,"['coffee poster', 'coffee poster_1']"
Can brown chocolate_1 be interacted with?,"['counter', 'counter_1']"
Can brown chocolate_1 be interacted with?,"['door', 'door_1']"
Can brown chocolate_1 be interacted with?,"['door', 'door_2']"
Can brown chocolate_1 be interacted with?,"['double door', 'double door_1']"
