Questions,Retrieved Tag,Retrieved Name,Retrieved Index
How many barrackss are there?,barracks,barracks_1,"['barracks', 'barracks_1']"
Could you count the number of barrackss?,barracks,barracks_1,"['barracks', 'barracks_1']"
What's the total quantity of barrackss?,barracks,barracks_1,"['barracks', 'barracks_1']"
Can you provide the count of barrackss?,barracks,barracks_1,"['barracks', 'barracks_1']"
Do you know how many barrackss exist?,barracks,barracks_1,"['barracks', 'barracks_1']"
What's the number of barrackss present?,barracks,barracks_1,"['barracks', 'barracks_1']"
How many barrackss are there?,barracks,barracks_2,"['barracks', 'barracks_2']"
Could you count the number of barrackss?,barracks,barracks_2,"['barracks', 'barracks_2']"
What's the total quantity of barrackss?,barracks,barracks_2,"['barracks', 'barracks_2']"
Can you provide the count of barrackss?,barracks,barracks_2,"['barracks', 'barracks_2']"
Do you know how many barrackss exist?,barracks,barracks_2,"['barracks', 'barracks_2']"
What's the number of barrackss present?,barracks,barracks_2,"['barracks', 'barracks_2']"
How many big houses are there?,big house,big house_1,"['big house', 'big house_1']"
Could you count the number of big houses?,big house,big house_1,"['big house', 'big house_1']"
What's the total quantity of big houses?,big house,big house_1,"['big house', 'big house_1']"
Can you provide the count of big houses?,big house,big house_1,"['big house', 'big house_1']"
Do you know how many big houses exist?,big house,big house_1,"['big house', 'big house_1']"
What's the number of big houses present?,big house,big house_1,"['big house', 'big house_1']"
How many big houses are there?,big house,big house_2,"['big house', 'big house_2']"
Could you count the number of big houses?,big house,big house_2,"['big house', 'big house_2']"
What's the total quantity of big houses?,big house,big house_2,"['big house', 'big house_2']"
Can you provide the count of big houses?,big house,big house_2,"['big house', 'big house_2']"
Do you know how many big houses exist?,big house,big house_2,"['big house', 'big house_2']"
What's the number of big houses present?,big house,big house_2,"['big house', 'big house_2']"
How many big houses are there?,big house,big house_3,"['big house', 'big house_3']"
Could you count the number of big houses?,big house,big house_3,"['big house', 'big house_3']"
What's the total quantity of big houses?,big house,big house_3,"['big house', 'big house_3']"
Can you provide the count of big houses?,big house,big house_3,"['big house', 'big house_3']"
Do you know how many big houses exist?,big house,big house_3,"['big house', 'big house_3']"
What's the number of big houses present?,big house,big house_3,"['big house', 'big house_3']"
How many big houses are there?,big house,big house_4,"['big house', 'big house_4']"
Could you count the number of big houses?,big house,big house_4,"['big house', 'big house_4']"
What's the total quantity of big houses?,big house,big house_4,"['big house', 'big house_4']"
Can you provide the count of big houses?,big house,big house_4,"['big house', 'big house_4']"
Do you know how many big houses exist?,big house,big house_4,"['big house', 'big house_4']"
What's the number of big houses present?,big house,big house_4,"['big house', 'big house_4']"
How many blacksmith's houses are there?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
Could you count the number of blacksmith's houses?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
What's the total quantity of blacksmith's houses?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
Can you provide the count of blacksmith's houses?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
Do you know how many blacksmith's houses exist?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
What's the number of blacksmith's houses present?,blacksmith's house,blacksmith's house_1,"[""blacksmith's house"", ""blacksmith's house_1""]"
How many boats are there?,boat,boat_1,"['boat', 'boat_1']"
Could you count the number of boats?,boat,boat_1,"['boat', 'boat_1']"
What's the total quantity of boats?,boat,boat_1,"['boat', 'boat_1']"
Can you provide the count of boats?,boat,boat_1,"['boat', 'boat_1']"
Do you know how many boats exist?,boat,boat_1,"['boat', 'boat_1']"
What's the number of boats present?,boat,boat_1,"['boat', 'boat_1']"
How many boats are there?,boat,boat_2,"['boat', 'boat_2']"
Could you count the number of boats?,boat,boat_2,"['boat', 'boat_2']"
