Questions,Hard Negative Retrieved Index
Can you provide the location of brown chocolate_1?,"['brown chocolate', 'brown chocolate_2']"
Can brown chocolate_1 be interacted with?,"['brown chocolate', 'brown chocolate_2']"
What kind of material is brown chocolate_1 made of?,"['brown chocolate', 'brown chocolate_2']"
Could you describe the color of brown chocolate_1?,"['brown chocolate', 'brown chocolate_2']"
How far is brown chocolate_1 from the player?,"['brown chocolate', 'brown chocolate_2']"
Which direction is brown chocolate_1 located relative to the player?,"['brown chocolate', 'brown chocolate_2']"
Can you provide the location of brown chocolate_2?,"['brown chocolate', 'brown chocolate_1']"
Can brown chocolate_2 be interacted with?,"['brown chocolate', 'brown chocolate_1']"
What kind of material is brown chocolate_2 made of?,"['brown chocolate', 'brown chocolate_1']"
Could you describe the color of brown chocolate_2?,"['brown chocolate', 'brown chocolate_1']"
How far is brown chocolate_2 from the player?,"['brown chocolate', 'brown chocolate_1']"
Which direction is brown chocolate_2 located relative to the player?,"['brown chocolate', 'brown chocolate_1']"
Can you provide the location of chipbox_1?,"['chipbox', 'chipbox_2']"
Can chipbox_1 be interacted with?,"['chipbox', 'chipbox_2']"
What kind of material is chipbox_1 made of?,"['chipbox', 'chipbox_2']"
Could you describe the color of chipbox_1?,"['chipbox', 'chipbox_2']"
How far is chipbox_1 from the player?,"['chipbox', 'chipbox_2']"
Which direction is chipbox_1 located relative to the player?,"['chipbox', 'chipbox_2']"
Can you provide the location of chipbox_2?,"['chipbox', 'chipbox_1']"
Can chipbox_2 be interacted with?,"['chipbox', 'chipbox_1']"
What kind of material is chipbox_2 made of?,"['chipbox', 'chipbox_1']"
Could you describe the color of chipbox_2?,"['chipbox', 'chipbox_1']"
How far is chipbox_2 from the player?,"['chipbox', 'chipbox_1']"
Which direction is chipbox_2 located relative to the player?,"['chipbox', 'chipbox_1']"
Can you provide the location of door_1?,"['door', 'door_2']"
Can door_1 be interacted with?,"['door', 'door_2']"
What kind of material is door_1 made of?,"['door', 'door_2']"
Could you describe the color of door_1?,"['door', 'door_2']"
How far is door_1 from the player?,"['door', 'door_2']"
Which direction is door_1 located relative to the player?,"['door', 'door_2']"
Can you provide the location of door_2?,"['door', 'door_1']"
Can door_2 be interacted with?,"['door', 'door_1']"
What kind of material is door_2 made of?,"['door', 'door_1']"
Could you describe the color of door_2?,"['door', 'door_1']"
How far is door_2 from the player?,"['door', 'door_1']"
Which direction is door_2 located relative to the player?,"['door', 'door_1']"
Can you provide the location of double door_1?,"['double door', 'double door_2']"
Can double door_1 be interacted with?,"['double door', 'double door_2']"
What kind of material is double door_1 made of?,"['double door', 'double door_2']"
Could you describe the color of double door_1?,"['double door', 'double door_2']"
How far is double door_1 from the player?,"['double door', 'double door_2']"
Which direction is double door_1 located relative to the player?,"['double door', 'double door_2']"
Can you provide the location of double door_2?,"['double door', 'double door_1']"
Can double door_2 be interacted with?,"['double door', 'double door_1']"
What kind of material is double door_2 made of?,"['double door', 'double door_1']"
Could you describe the color of double door_2?,"['double door', 'double door_1']"
How far is double door_2 from the player?,"['double door', 'double door_1']"
Which direction is double door_2 located relative to the player?,"['double door', 'double door_1']"
Can you provide the location of sidetable_1?,"['sidetable', 'sidetable_2']"
Can you provide the location of sidetable_1?,"['sidetable', 'sidetable_3']"
Can you provide the location of sidetable_1?,"['sidetable', 'sidetable_4']"
Can sidetable_1 be interacted with?,"['sidetable', 'sidetable_2']"
Can sidetable_1 be interacted with?,"['sidetable', 'sidetable_3']"
Can sidetable_1 be interacted with?,"['sidetable', 'sidetable_4']"
What kind of material is sidetable_1 made of?,"['sidetable', 'sidetable_2']"
What kind of material is sidetable_1 made of?,"['sidetable', 'sidetable_3']"
What kind of material is sidetable_1 made of?,"['sidetable', 'sidetable_4']"
Could you describe the color of sidetable_1?,"['sidetable', 'sidetable_2']"
Could you describe the color of sidetable_1?,"['sidetable', 'sidetable_3']"
Could you describe the color of sidetable_1?,"['sidetable', 'sidetable_4']"
How far is sidetable_1 from the player?,"['sidetable', 'sidetable_2']"
How far is sidetable_1 from the player?,"['sidetable', 'sidetable_3']"
How far is sidetable_1 from the player?,"['sidetable', 'sidetable_4']"
Which direction is sidetable_1 located relative to the player?,"['sidetable', 'sidetable_2']"
Which direction is sidetable_1 located relative to the player?,"['sidetable', 'sidetable_3']"
Which direction is sidetable_1 located relative to the player?,"['sidetable', 'sidetable_4']"
Can you provide the location of sidetable_2?,"['sidetable', 'sidetable_1']"
Can you provide the location of sidetable_2?,"['sidetable', 'sidetable_3']"
Can you provide the location of sidetable_2?,"['sidetable', 'sidetable_4']"
Can sidetable_2 be interacted with?,"['sidetable', 'sidetable_1']"
Can sidetable_2 be interacted with?,"['sidetable', 'sidetable_3']"
Can sidetable_2 be interacted with?,"['sidetable', 'sidetable_4']"
What kind of material is sidetable_2 made of?,"['sidetable', 'sidetable_1']"
What kind of material is sidetable_2 made of?,"['sidetable', 'sidetable_3']"
What kind of material is sidetable_2 made of?,"['sidetable', 'sidetable_4']"
Could you describe the color of sidetable_2?,"['sidetable', 'sidetable_1']"
Could you describe the color of sidetable_2?,"['sidetable', 'sidetable_3']"
Could you describe the color of sidetable_2?,"['sidetable', 'sidetable_4']"
How far is sidetable_2 from the player?,"['sidetable', 'sidetable_1']"
How far is sidetable_2 from the player?,"['sidetable', 'sidetable_3']"
How far is sidetable_2 from the player?,"['sidetable', 'sidetable_4']"
Which direction is sidetable_2 located relative to the player?,"['sidetable', 'sidetable_1']"
Which direction is sidetable_2 located relative to the player?,"['sidetable', 'sidetable_3']"
Which direction is sidetable_2 located relative to the player?,"['sidetable', 'sidetable_4']"
Can you provide the location of sidetable_3?,"['sidetable', 'sidetable_1']"
Can you provide the location of sidetable_3?,"['sidetable', 'sidetable_2']"
Can you provide the location of sidetable_3?,"['sidetable', 'sidetable_4']"
Can sidetable_3 be interacted with?,"['sidetable', 'sidetable_1']"
